,,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto
,,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29
801010.INDX,000876.XSHE,-0.476874576,-0.460056844,-0.46946936,-0.441989764,-0.328744432,-0.150109616,-0.301337878,-0.21214293,-0.509322336,-0.486087659,-0.344155825,-0.518569367,-0.298057111,-0.426864923,-0.4304499,-0.45075208,-0.573286699,-0.586273799,-0.620532389,-0.478301449,-0.493100276,-0.449198203,-0.441985316,-0.587833514,-0.375176451,-0.37351768,-0.358547619,-0.373843431,-0.396048887,-0.422794596,-0.415490798,-0.4430833,-0.534832117,-0.535859131,-0.51267411,-0.544563554,-0.450145335,-0.544320912,-0.456647682,-0.503278767,-0.461609717,-0.448447003,-0.482378527,-0.470624746,-0.49734096,-0.520903988,-0.486431359,-0.539018693
801010.INDX,000893.XSHE,-0.318255336,-0.15331566,0.357128499,0.66454795,0.81965022,0.131944158,0.184691394,-0.098843712,-0.169339505,-0.027393972,-0.33189932,-0.309697007,0.405288783,-0.542827064,-0.205486333,-0.159497113,0.02167441,0.126506233,-0.094045094,0.526961479,0.37434145,0.096363087,0.423941621,1.10647444,0.01270515,0.047671996,0.058820804,0.004975909,-0.089189944,-0.145610782,-0.112960409,-0.147542091,-0.147294286,-0.121659591,-0.102438303,-0.069534131,0.096146214,-0.709714985,0.063548895,0.036984486,0.120824278,0.183569665,0.149807289,0.189506963,0.162524288,0.13466922,0.212127763,0.191918929
801010.INDX,000911.XSHE,-0.415214829,-0.346150195,-0.37712898,-0.236414731,-0.280769407,-0.096422961,0.133679916,-0.1650547,-0.246021263,-0.052178964,0.166866751,0.237269783,0.444865244,0.269660309,-0.044831134,-0.208252397,-0.14211171,-0.074287475,-0.122919546,-0.081597372,-0.088326342,0.074595275,0.230595014,0.522791895,-0.149889372,-0.099724552,-0.044019223,-0.039432353,-0.0640263,-0.074202721,-0.038981536,-0.077517653,-0.129091998,-0.117012191,-0.094634752,-0.117042818,-0.003184639,-0.081032043,0.001708318,0.0094271,0.130510412,0.196607705,0.188180369,0.189797898,0.245954025,0.25239735,0.271163176,0.233153189
801010.INDX,000930.XSHE,0.234569916,0.158982634,-0.565517978,-0.576304731,-0.642365629,-0.473455717,-0.463204964,-0.44502188,-0.605065345,1.348972632,0.709434757,0.21240935,0.015373413,-0.04916504,0.570942158,0.381093385,1.026486197,1.39591542,2.753964946,0.040744229,0.098546706,0.045512774,1.684273479,1.621992975,0.564525503,0.482861653,-0.523035769,-0.542032697,0.389469306,0.404586445,-0.55775163,-0.588897028,-0.684221087,0.418573015,0.334757788,0.369964309,0.55852711,0.461653619,0.54400475,0.474828428,0.573511186,0.659880237,0.670556626,0.523080202,0.695874019,0.898399431,1.131279461,1.178515074
801010.INDX,000972.XSHE,-0.570803129,-0.57018353,-0.404000658,-0.346946614,-0.392751212,-0.30666255,-0.26779715,-0.155274596,-0.605065345,-0.47478022,-0.373390603,-0.527253746,-0.270829053,-0.234848673,0.051614887,-0.140585489,-0.11413961,0.062651537,-0.148315654,0.824407837,0.719214936,-0.077779407,0.396631093,-0.10408781,-0.537084558,-0.540072096,-0.329288513,-0.318304997,-0.326195713,-0.324265463,-0.265481085,-0.270375745,-0.684221087,-0.199586533,-0.152020436,-0.120690704,-6.12E-05,-0.077622699,0.034426136,0.013498392,0.107987943,0.26111005,0.266866557,0.302260472,0.207862279,0.146657628,0.210882559,0.118681504
801010.INDX,000998.XSHE,-0.350830296,-0.310635467,-0.305941233,-0.123920744,-0.133557822,-0.062454554,-0.12398447,-0.069128445,-0.246988364,-0.32541352,-0.366157256,-0.217597863,-0.141222128,-0.360936732,-0.358074055,-0.278100392,-0.363544121,-0.175100256,0.155054682,-0.414843057,-0.282296776,-0.191201163,-0.355367058,-0.379903769,-0.228998685,-0.229351896,-0.224073106,-0.246942606,-0.275263399,-0.300911207,-0.276631915,-0.274157276,-0.363497318,-0.365869404,-0.341305863,-0.361336278,-0.274754626,-0.383154426,-0.303509345,-0.347821873,-0.33183319,-0.306779469,-0.337797177,-0.335760171,-0.31925307,-0.340065218,-0.326151329,-0.378238703
801010.INDX,002041.XSHE,-0.378567998,-0.458533575,-0.296957893,-0.311093615,-0.468942125,-0.300796786,-0.327174355,-0.323754846,-0.441781243,-0.386290944,-0.485407019,-0.612196663,-0.336231122,-0.389935104,-0.371861505,-0.31049752,-0.349863163,-0.408653166,-0.335727195,-0.645444199,-0.538731635,-0.505380308,-0.54568863,-0.663949412,-0.375319454,-0.383663415,-0.365897327,-0.390032772,-0.411009567,-0.41883944,-0.390894173,-0.402544228,-0.494087204,-0.500422704,-0.490108605,-0.515811319,-0.421330946,-0.519473617,-0.455114905,-0.513803196,-0.527557862,-0.54480969,-0.606112804,-0.614960875,-0.606263118,-0.633928219,-0.625000151,-0.69399104
801010.INDX,002069.XSHE,-0.211590708,-0.260536852,-0.195895317,0.30233158,0.599975105,-0.348949075,-0.360987455,-0.31356854,-0.451046696,-0.484545736,-0.442944593,-0.596318786,-0.339925381,-0.386800145,-0.345741397,-0.571775834,-0.540079866,-0.534223506,-0.651250784,-0.505871387,-0.425433579,-0.233855499,-0.375647575,-0.453068093,-0.244729026,-0.268772892,-0.269428911,-0.299108261,-0.374487907,-0.440068136,-0.416138788,-0.44271308,-0.524903596,-0.525513133,-0.491404502,-0.510124064,-0.403012423,-0.495990059,-0.419638089,-0.715816841,-0.447801825,-0.433314121,-0.456040191,-0.417383626,-0.380715588,-0.372077861,-0.328258596,-0.404525926
801010.INDX,002086.XSHE,-0.570803129,-0.162455272,0.213160028,0.234936266,1.005578493,0.066327136,0.474690286,0.486368935,0.732310687,-0.107716765,-0.09021846,0.093250725,0.400431516,0.118022333,-0.597221834,-0.337707915,-0.365149867,-0.173634608,-0.247637065,0.092497281,0.091560798,0.001448378,0.456535308,0.272776171,-0.537084558,0.155449169,0.183905575,0.130106025,0.047271257,-0.033009902,-0.005394048,-0.065511953,-0.147185778,-0.191010973,-0.172670268,-0.157830203,-0.049923603,-0.15598305,-0.654515232,-0.08878244,0.00400185,0.118160599,0.175981215,0.210745224,0.222648535,0.252985338,0.305390306,0.236882306
801010.INDX,002100.XSHE,-0.475496876,-0.508039808,-0.476389665,-0.500347506,-0.511947307,-0.342188534,-0.347096458,-0.285790546,-0.504424437,-0.514984448,-0.429147653,-0.640896113,-0.381998888,-0.407804371,-0.239045713,-0.291905079,-0.1745799,-0.5617143,-0.680334775,-0.439531224,-0.084647592,-0.663879942,-0.292437808,-0.188954259,-0.432206087,-0.436290869,-0.414662502,-0.419038675,-0.424182665,-0.419861861,-0.397104079,-0.42594741,-0.505100809,-0.49046399,-0.445400171,-0.458536639,-0.326896289,-0.393027885,-0.285255367,-0.319295131,-0.287141545,-0.294335488,-0.317640623,-0.268036948,-0.188069926,-0.893589958,-0.122384963,-0.188114837
