,0,1
228,300068.XSHE,12.6
229,603456.XSHG,6.57
230,002293.XSHE,10.98
231,002861.XSHE,19.47
232,600315.XSHG,30.12
233,601137.XSHG,7.96
234,002341.XSHE,11.41
235,002787.XSHE,9.25
236,603868.XSHG,49.01
237,603318.XSHG,12.58
238,002810.XSHE,14.68
239,603366.XSHG,4.12
240,300321.XSHE,13.34
241,600652.XSHG,4.49
242,300262.XSHE,5.2
243,600885.XSHG,19.96
244,000539.XSHE,4.37
245,002320.XSHE,13.77
246,601216.XSHG,3.11
247,002108.XSHE,4.67
248,300414.XSHE,16.15
249,600448.XSHG,3.56
250,603368.XSHG,31.8
251,002321.XSHE,5.81
252,300484.XSHE,11.28
253,002459.XSHE,12.04
254,601222.XSHG,4.75
255,600735.XSHG,5.14
256,600756.XSHG,19.82
257,600481.XSHG,3.37
258,603519.XSHG,7.54
259,000952.XSHE,10.97
260,000862.XSHE,3.36
261,002902.XSHE,22.88
262,002396.XSHE,18.33
263,300300.XSHE,11.92
264,601718.XSHG,3.76
265,600470.XSHG,3.98
266,300686.XSHE,13.17
267,002845.XSHE,16.89
268,002646.XSHE,12.87
269,603006.XSHG,10.26
270,600798.XSHG,3.5
271,600059.XSHG,7.32
272,002931.XSHE,31.86
273,002114.XSHE,8.4
274,000976.XSHE,4.48
275,600664.XSHG,3.76
276,600511.XSHG,26.25
277,002292.XSHE,6.48
278,601515.XSHG,7.85
279,600962.XSHG,8.55
280,300742.XSHE,51.38
281,603855.XSHG,8.7
282,000657.XSHE,6.61
283,600829.XSHG,7.22
284,300634.XSHE,30.8
285,002892.XSHE,26.5
286,600433.XSHG,3.96
287,603985.XSHG,18.34
288,002236.XSHE,15.64
289,601996.XSHG,3.45
290,300387.XSHE,6.04
291,000987.XSHE,7.13
292,000821.XSHE,8.81
293,603378.XSHG,13.01
294,300143.XSHE,9.87
295,600774.XSHG,11.18
296,600396.XSHG,2.18
297,000548.XSHE,4.28
298,300032.XSHE,3.46
299,300053.XSHE,10.6
300,002353.XSHE,19.22
301,300165.XSHE,4.28
302,300039.XSHE,5.11
303,300287.XSHE,5.7
304,603330.XSHG,19.7
305,300259.XSHE,3.24
306,000035.XSHE,4.13
307,000560.XSHE,5.58
308,300622.XSHE,17.6
309,603116.XSHG,7.85
310,300154.XSHE,5.08
311,300167.XSHE,4.72
312,600111.XSHG,10.16
313,300265.XSHE,5.22
314,600383.XSHG,9.06
315,002343.XSHE,11.35
316,600725.XSHG,2.48
317,002365.XSHE,13.06
318,000838.XSHE,3.44
319,600707.XSHG,5.49
320,002140.XSHE,7.12
321,002853.XSHE,18.6
322,002017.XSHE,5.89
323,603227.XSHG,4.26
324,603726.XSHG,21.93
325,300421.XSHE,13.7
326,600845.XSHG,25.25
327,600478.XSHG,3.99
328,002111.XSHE,10.45
329,300664.XSHE,13.92
330,300340.XSHE,13.47
331,002665.XSHE,5.81
332,603616.XSHG,12.09
333,002706.XSHE,6.42
334,600616.XSHG,5.66
335,603666.XSHG,85.31
336,002811.XSHE,15.14
337,002805.XSHE,17.8
338,000517.XSHE,2.8
339,600008.XSHG,3.9
340,600777.XSHG,2.24
341,000032.XSHE,7.65
342,600308.XSHG,4.63
343,600525.XSHG,7.72
344,300455.XSHE,7.49
345,601007.XSHG,8.87
346,603200.XSHG,32.49
347,600766.XSHG,6.69
348,300066.XSHE,3.44
349,600379.XSHG,6.87
350,601700.XSHG,3.07
351,300205.XSHE,8.16
352,600792.XSHG,3.51
353,300234.XSHE,6.24
354,600667.XSHG,6.6
355,300142.XSHE,21.93
356,600846.XSHG,7.44
357,002061.XSHE,9.15
358,002509.XSHE,2.57
359,300064.XSHE,4.9
360,002911.XSHE,19.3
361,600207.XSHG,5.25
362,600089.XSHG,6.86
