, ’“Ê¬ 
2008,-0.212824862
2009,0.898970716
2010,-0.115117861
2011,-0.264584369
2012,0.097530705
2013,-0.077001389
2014,0.521851198
2015,0.024567539
2016,-0.045829451
2017,0.206038566
2018,-0.166947668
