证券代码,证券简称,现金流量比 2017一季,现金流量比 2017中报,现金流量比 2017三季,现金流量比 2017年报,现金流量比 2018一季,现金流量比 2018中报,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2018-09-14,估价修正久期 2017-12-29,估价全价 2018-06-29,估价修正久期 2018-06-29,估价修正久期 2018-03-30,估价修正久期 2018-09-14,估价全价 2017-12-29,估价全价 2018-03-30,"债项评级 2018-09-14","债项评级 2018-06-29","债项评级 2018-03-30","债项评级 2017-12-29","债项评级 2017-10-10","资产负债率 2017一季","资产负债率 2017中报","资产负债率 2017三季","资产负债率 2017年报","资产负债率 2018一季","资产负债率 2018中报"
038006.IB,03三峡债,0.0886,0.1588,0.3824,0.6648,0.0987,0.1814,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,56.2022,59.8051,57.2489,54.7363,53.513,57.1035
038014.IB,03中电投债,0.0139,0.0389,0.0782,0.1001,0.0132,0.0239,104.7465,1.0631,104.3121,0.8987,103.123,0.4358,0.6716,0.2313,100.152,101.7745,AAA,AAA,AAA,AAA,AAA,82.2021,82.6085,82.9089,81.3829,81.5677,81.444
048006.IB,04南网债(1),0.0878,0.1992,0.3063,0.3432,0.0584,0.1402,102.2314,1.7995,107.4206,1.5804,105.6196,1.1136,1.3483,0.9194,102.2404,104.0599,AAA,AAA,AAA,AAA,AAA,59.9889,60.2323,60.7773,60.6739,60.8229,61.054
048009.IB,04国电债(2),0.0077,0.0388,0.0427,0.1094,0.0026,0.0215,101.8833,1.8099,107.1518,1.5897,105.2197,1.1235,1.3582,0.9306,101.785,103.6551,AAA,AAA,AAA,AAA,AAA,81.7493,81.8162,81.3202,80.9918,81.1928,81.1216
058004.IB,05大唐债,0.0353,0.054,0.1597,0.1817,0.0691,0.0499,103.9228,2.2955,103.8773,2.0712,101.9226,1.7008,1.8416,1.5085,103.4924,105.5346,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
058009.IB,05粤交通债,0.0844,0.2602,0.4089,0.481,0.1061,0.2935,102.915,2.4519,103.0734,2.2272,100.8342,1.8569,1.9978,1.6675,102.4307,104.4924,AAA,AAA,AAA,AAA,AAA,72.0115,71.264,70.9783,70.866,71.089,71.8168
058019.IB,05中核债(2),0.0112,0.067,0.1319,0.3884,0.0016,0.1379,102.7144,2.5182,102.8324,2.2924,106.0248,1.8314,2.0636,1.7308,102.1287,104.2323,AAA,AAA,AAA,AAA,AAA,69.1634,69.8688,69.7489,70.0388,69.776,70.5758
058021.IB,05沪建设(2),-0.002,0.0251,0.0467,0.079,-0.0455,-0.037,101.9701,2.5254,102.3647,2.3004,105.2113,1.8379,2.0715,1.7406,101.4587,103.554,AAA,AAA,AAA,AAA,AAA,54.4,55.0168,54.7068,54.3094,55.6575,56.6731
058026.IB,05宁煤债,,0.0114,,0.0988,,0.0749,100.1548,2.6613,105.8229,2.4355,103.684,1.9773,2.2079,1.7871,99.5655,101.7574,AAA,AAA,AAA,AAA,AAA,,72.8222,,72.5391,,70.5959
58028,05中远债2,,,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,,,,,,
058030.IB,05川投资02,0.0354,0.0815,0.1274,0.1017,0.0607,0.0475,106.3521,2.6914,106.6477,2.5889,104.2488,2.1228,2.3603,1.9353,100.9012,103.0029,AAA,AAA,AAA,AAA,AAA,42.3328,46.7606,45.0617,44.0404,44.2353,44.0515
058032.IB,05中信债2,,,,0.016,-0.0153,0.0013,103.2177,6.4235,103.756,6.4394,101.5566,6.0216,6.2284,5.8396,95.6735,98.4695,AAA,AAA,AAA,AAA,AAA,91.2754,90.9304,90.567,90.6598,90.4508,90.482
058036.IB,05武城投债,0.018,0.0449,0.0503,0.03,0.0033,-0.0164,103.6336,2.8138,104.5507,2.7089,101.9605,2.2478,2.4807,2.0624,98.1798,100.2909,AAA,AAA,AAA,AAA,AAA,72.8717,72.8808,72.5948,69.1183,68.5688,67.7956
068005.BC,06大唐债(柜台),0.0353,0.054,0.1597,0.1817,0.0691,0.0499,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
068005.IB,06大唐债,0.0353,0.054,0.1597,0.1817,0.0691,0.0499,98.3593,6.6679,99.1925,6.3851,97.018,6.2534,6.4605,6.0716,95.4369,94.0133,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
068008.BC,06华润债(柜台),,,,0.0608,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,,,,71.3885,,
068008.IB,06华润债,,,,0.0608,,,100.2348,3.028,101.7353,2.7978,99.535,2.4521,2.6807,2.2631,99.3633,97.4827,AAA,AAA,AAA,AAA,AAA,,,,71.3885,,
068012.BC,06冀建投债(柜台),0.0015,0.0654,0.1492,0.1793,0.0673,0.0935,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,55.6736,55.4319,55.9645,56.7482,56.3873,56.8011
068012.IB,06冀建投债,0.0015,0.0654,0.1492,0.1793,0.0673,0.0935,97.9983,6.782,98.3322,6.4965,95.9432,6.3542,6.5754,6.1761,94.9012,93.7971,AAA,AAA,AAA,AAA,AAA,55.6736,55.4319,55.9645,56.7482,56.3873,56.8011
068015.BC,06鲁高速债(柜台),-0.0296,0.0321,0.0184,0.0638,-0.0825,-0.0411,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,75.2545,75.6435,75.3561,71.9365,71.7809,70.7195
068015.IB,06鲁高速债,-0.0296,0.0321,0.0184,0.0638,-0.0825,-0.0411,96.7762,6.816,96.4394,6.5307,94.0621,6.374,6.3142,6.196,93.7123,96.0098,AAA,AAA,AAA,AAA,AAA,75.2545,75.6435,75.3561,71.9365,71.7809,70.7195
068016.BC,06航天债(柜台),,-0.0802,,0.0065,,-0.1625,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,,49.9831,,48.5757,,44.7332
068016.IB,06航天债,,-0.0802,,0.0065,,-0.1625,99.7987,3.1433,101.2829,2.9122,99.0895,2.5654,2.6852,2.3765,98.8403,101.0017,AAA,AAA,AAA,AAA,AAA,,49.9831,,48.5757,,44.7332
068021.BC,06云天化债(柜台),0.0045,0.0101,0.0217,0.0749,0.0156,0.0332,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,86.6029,86.8303,84.9904,81.6073,81.9035,79.5853
068021.IB,06云天化债,0.0045,0.0101,0.0217,0.0749,0.0156,0.0332,99.8501,3.167,101.2937,2.9358,99.097,2.5903,2.7088,2.4014,98.8765,101.041,AAA,AAA,AAA,AAA,AAA,86.6029,86.8303,84.9904,81.6073,81.9035,79.5853
068022.BC,06三峡债(柜台),0.0488,0.1565,0.301,0.381,0.0546,0.1427,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,44.9992,45.8112,45.9803,47.0172,45.6658,47.2743
068022.IB,06三峡债,0.0488,0.1565,0.301,0.381,0.0546,0.1427,97.7257,6.9124,98.2982,6.6351,96.2163,6.491,6.4217,6.3079,95.0244,97.5002,AAA,AAA,AAA,AAA,AAA,44.9992,45.8112,45.9803,47.0172,45.6658,47.2743
068023.BC,06陕煤债(柜台),0.0392,0.0673,0.19,0.2158,0.0395,0.0928,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,77.2895,75.6266,72.037,71.5528,70.749,71.226
068023.IB,06陕煤债,0.0392,0.0673,0.19,0.2158,0.0395,0.0928,99.816,3.2159,101.2043,2.9844,98.998,2.6417,2.7575,2.4528,98.8199,100.9973,AAA,AAA,AAA,AAA,AAA,77.2895,75.6266,72.037,71.5528,70.749,71.226
068028.BC,06国网债2(柜台),0.0684,0.169,0.2629,0.306,0.1037,0.1677,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
068028.IB,06国网债2,0.0684,0.169,0.2629,0.306,0.1037,0.1677,99.5955,3.2453,101.0157,3.0162,99.0268,2.672,2.7882,2.481,98.8139,100.8857,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
068029.BC,06华电债(柜台),0.0316,0.0601,0.1007,0.1837,0.0553,0.0871,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,81.5283,81.464,81.4628,80.7115,80.4044,80.0439
068029.IB,06华电债,0.0316,0.0601,0.1007,0.1837,0.0553,0.0871,102.0705,3.2872,102.897,3.0536,100.7948,2.7067,2.8253,2.5166,100.846,102.8991,AAA,AAA,AAA,AAA,AAA,81.5283,81.464,81.4628,80.7115,80.4044,80.0439
068031.BC,06厦路桥债(柜台),-0.0268,-0.0191,-0.03,-0.0014,-0.0272,0.0173,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,69.7349,69.4502,69.7449,69.5195,69.7658,66.0044
068031.IB,06厦路桥债,-0.0268,-0.0191,-0.03,-0.0014,-0.0272,0.0173,101.5938,3.3149,100.7825,3.0816,98.2014,2.716,2.8363,2.5312,100.4155,100.9248,AAA,AAA,AAA,AAA,AAA,69.7349,69.4502,69.7449,69.5195,69.7658,66.0044
068032.BC,06沪水务债(柜台),,0.0867,,0.0437,,0.065,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,,58.5305,,54.9384,,59.0275
068032.IB,06沪水务债,,0.0867,,0.0437,,0.065,100.0089,3.3224,101.2248,3.0899,99.037,2.7494,2.863,2.5604,98.9181,101.0891,AAA,AAA,AAA,AAA,AAA,,58.5305,,54.9384,,59.0275
068035.IB,06鲁能债,,0.1174,,0.2386,,0.0359,100.1578,3.3994,101.2323,3.1663,103.4375,2.7131,2.9395,2.6404,99.0125,101.2,AAA,AAA,AAA,AAA,AAA,,75.1384,,74.7875,,71.9297
068037.IB,06赣投债,0.0905,0.1413,0.1893,0.2391,0.0662,0.1114,99.119,3.5054,100.2068,3.2745,101.9803,2.8147,3.0484,2.7463,98.1747,100.4132,AAA,AAA,AAA,AAA,AAA,65.1078,64.9436,59.4753,60.1483,60.4662,60.5745
078005.BC,07世博债2(柜台),,5.8583,,5.3551,,-0.2284,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,,60.1395,,50.9854,,50.2423
078005.IB,07世博债2,,5.8583,,5.3551,,-0.2284,99.7861,3.7725,101.1309,3.5345,99.0475,3.235,3.4587,3.0457,98.4547,96.6227,AAA,AAA,AAA,AAA,AAA,,60.1395,,50.9854,,50.2423
078010.IB,07中海油服债,0.0118,0.0335,0.0945,0.4546,-0.079,-0.0616,103.3507,4.0171,103.8411,3.7756,101.898,3.4804,3.5509,3.2893,101.6495,103.9483,AAA,AAA,AAA,AAA,AAA,56.2791,53.4975,53.0398,53.0476,52.2234,53.1356
078011.IB,07豫投债1,-0.0493,0.0016,0.0086,0.0086,0.0084,0.0033,103.3465,4.0229,103.6563,3.781,101.1693,3.4791,3.5556,3.2939,101.6147,103.8555,AAA,AAA,AAA,AAA,AAA,64.1324,66.6739,66.2949,66.2813,67.6729,68.7261
078012.IB,07豫投债2,-0.0493,0.0016,0.0086,0.0086,0.0084,0.0033,99.1931,7.4289,100.2298,7.1273,95.672,7.0263,6.911,6.8901,95.8,98.0336,AAA,AAA,AAA,AAA,AAA,64.1324,66.6739,66.2949,66.2813,67.6729,68.7261
078024.IB,07国电债,0.0077,0.0388,0.0427,0.1094,0.0026,0.0215,103.2822,4.0733,103.7085,3.8318,101.719,3.5484,3.608,3.3578,101.614,104.0012,AAA,AAA,AAA,AAA,AAA,81.7493,81.8162,81.3202,80.9918,81.1928,81.1216
078028.IB,07武城投债,0.018,0.0449,0.0503,0.03,0.0033,-0.0164,102.5338,4.0625,102.8982,3.8213,100.272,3.5382,3.5976,3.3546,100.925,103.3183,AAA,AAA,AAA,AAA,AAA,72.8717,72.8808,72.5948,69.1183,68.5688,67.7956
078033.IB,07湖交投债,-0.038,0.0847,0.1536,0.22,-0.0327,-0.0589,106.2422,4.1083,105.1421,3.8622,107.5993,3.3975,3.6355,3.3972,104.1777,106.359,AAA,AAA,AAA,AAA,AAA,45.1559,45.0682,44.7868,49.5668,50.6948,51.5041
078034.IB,07冀建投债,0.0015,0.0654,0.1492,0.1793,0.0673,0.0935,104.2783,4.083,104.2908,3.8412,107.1,3.3891,3.6178,3.3865,102.6331,105.0751,AAA,AAA,AAA,AAA,AAA,55.6736,55.4319,55.9645,56.7482,56.3873,56.8011
078035.IB,07江西高速债,0.0477,0.0765,0.1225,0.1847,0.0567,0.1108,105.3993,4.1333,105.3687,3.8912,108.8102,3.4468,3.668,3.4347,103.6843,106.1547,AAA,AAA,AAA,AAA,AAA,60.3006,61.0117,60.8798,61.1244,60.8969,60.6899
078036.BC,07沪建债(柜台),-0.002,0.0251,0.0467,0.079,-0.0455,-0.037,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,54.4,55.0168,54.7068,54.3094,55.6575,56.6731
078036.IB,07沪建债,-0.002,0.0251,0.0467,0.079,-0.0455,-0.037,103.7113,4.1174,103.7919,3.8757,106.5562,3.4239,3.6524,3.4213,102.0673,104.5203,AAA,AAA,AAA,AAA,AAA,54.4,55.0168,54.7068,54.3094,55.6575,56.6731
078037.IB,07深高速债,0.1269,0.1767,0.2991,0.3908,0.1088,0.1964,106.8006,4.1512,104.6099,3.9077,109.2052,3.4531,3.683,3.4285,104.9327,107.2882,AAA,AAA,AAA,AAA,AAA,53.8657,58.4266,57.0888,57.9051,63.6355,63.5969
078042.IB,07虞交通债,,-0.088,,0.0083,,0.0029,107.7313,4.1604,107.0994,3.9166,110.1506,3.4621,3.692,3.4614,105.8416,108.2176,AAA,AAA,AAA,AAA,AAA,,45.2633,,44.4085,,44.7546
078047.IB,07中粮债,-0.0095,-0.0054,0.0883,0.08,0.0094,-0.0103,105.5485,4.2596,103.2997,4.0164,108.7382,3.5712,3.7926,3.5298,103.6912,106.1086,AAA,AAA,AAA,AAA,AAA,71.9314,71.8784,70.4108,70.9247,71.0665,71.2052
078048.IB,07宁交通债,,,,,,,103.4462,4.232,103.6823,3.99,106.9542,3.547,3.7674,3.5326,101.7552,104.2483,AAA,AAA,AAA,AAA,AAA,,,,,,
078051.IB,07国网债02,0.0684,0.169,0.2629,0.306,0.1037,0.1677,104.9709,4.2585,104.9554,4.0183,108.3086,3.5717,3.7931,3.553,103.3843,105.6783,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
078061.BC,07大唐债(柜台),0.0353,0.054,0.1597,0.1817,0.0691,0.0499,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
078061.IB,07大唐债,0.0353,0.054,0.1597,0.1817,0.0691,0.0499,110.6553,7.2509,110.2708,7.328,107.7047,6.9264,7.1274,6.7544,101.4756,104.5864,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
078067.IB,07神华宁煤债,,0.0114,,0.0988,,0.0749,112.9614,4.1738,112.4611,4.1509,110.4192,3.7068,3.9274,3.5169,105.2288,107.6886,AAA,AAA,AAA,AAA,AAA,,72.8222,,72.5391,,70.5959
078072.IB,07鲁高速债,-0.0296,0.0321,0.0184,0.0638,-0.0825,-0.0411,111.093,4.1754,110.6496,4.1564,107.8388,3.7042,3.9328,3.5234,103.3662,105.8014,AAA,AAA,AAA,AAA,AAA,75.2545,75.6435,75.3561,71.9365,71.7809,70.7195
078087.IB,07广核债,0.0845,0.183,0.3127,0.4421,0.1109,0.2708,112.9052,4.2775,109.845,4.2568,110.3114,3.8132,4.0333,3.5942,105.0629,107.5324,AAA,AAA,AAA,AAA,AAA,73.2731,73.4021,72.6111,71.7499,70.1784,70.3985
088012.IB,08鲁能债,,0.1174,,0.2386,,0.0359,111.8892,4.7209,111.2482,4.4708,109.1544,4.2648,4.2495,4.0754,109.795,112.3621,AAA,AAA,AAA,AAA,AAA,,75.1384,,74.7875,,71.9297
088018.IB,08大唐债,0.0353,0.054,0.1597,0.1817,0.0691,0.0499,106.1845,4.7958,106.3557,2.5954,110.0062,4.1138,4.3272,4.1555,104.8158,106.9439,AAA,AAA,AAA,AAA,AAA,81.4637,81.5017,81.0293,79.9595,79.9375,79.906
088022.IB,08华润债02,-0.0161,-0.0075,0.0179,0.0608,-0.007,0.0031,110.1343,4.8656,106.9953,4.6149,113.5567,4.1782,4.3939,4.1848,107.9801,110.5537,AAA,AAA,AAA,AAA,AAA,71.199,70.783,70.9237,70.199,70.3803,71.0903
088033.IB,08沪建债02,-0.002,0.0251,0.0467,0.079,-0.0455,-0.037,104.8816,4.9677,104.5087,4.7158,107.2742,4.2676,4.4937,4.3046,102.6976,105.1308,AAA,AAA,AAA,AAA,AAA,54.4,55.0168,54.7068,54.3094,55.6575,56.6731
088036.IB,08国投债,0.0136,0.0254,0.0782,0.0075,-0.0329,-0.0039,103.4793,2.9798,103.5337,2.7162,106.7487,2.288,2.4962,4.3059,102.588,104.5641,AAA,AAA,AAA,AAA,AAA,71.2124,70.3022,70.802,68.4526,69.9344,70.1644
088043.IB,08湘有色债,,0.067,,0.0785,,0.0317,100.4608,0.939,105.5501,0.7362,104.3671,0.2675,0.5061,0.0601,101.1913,102.8884,AA+,AA+,AA+,AA,AA,,83.2826,,83.4689,,74.6386
088052.IB,08首钢债01,0.0037,0.0092,0.014,0.0227,0.0054,0.0214,103.6283,0.9468,103.8687,0.7808,102.839,0.311,0.5499,0.1038,99.9658,101.4985,AAA,AAA,AAA,AAA,AAA,72.9355,73.8097,74.5852,72.7859,72.5714,73.2176
088053.IB,08首钢债02,0.0037,0.0092,0.014,0.0227,0.0054,0.0214,101.7108,4.957,102.8645,4.9282,100.8035,4.4938,4.7086,4.3065,95.3828,97.8962,AAA,AAA,AAA,AAA,AAA,72.9355,73.8097,74.5852,72.7859,72.5714,73.2176
088057.IB,08陕投债,-0.0084,-0.0295,-0.036,-0.0309,-0.014,-0.0296,106.5225,0.9639,105.3793,0.8119,104.127,0.3448,0.5826,0.1391,101.2338,102.8243,AAA,AAA,AAA,AAA,AAA,69.2069,66.2888,67.0122,68.0434,69.2941,68.1911
088065.IB,08中国有色债,0.0055,0.0203,0.1044,0.1059,0.0671,0.0613,104.0662,1.0257,104.3169,0.8651,103.002,0.4056,0.6399,0.2013,99.6236,101.4006,AAA,AAA,AAA,AAA,AAA,75.5488,75.5656,74.274,68.9242,69.3405,70.134
098008.IB,09华菱债,0.015,0.0346,0.0386,0.0831,0.0409,0.1448,100.7107,1.1886,103.3164,0.9813,101.7453,0.6115,0.8365,0.4157,101.9766,100.0981,AA+,AA+,AA+,AA,AA,84.4842,79.3388,77.7309,66.7885,65.3423,63.2233
0980100.IB,09常高新债,0.0087,0.0537,0.1457,0.1133,-0.0004,0.0597,103.8723,1.5119,103.0288,1.2953,101.1886,0.8874,1.0637,0.699,104.1646,106.0649,AA+,AA+,AA+,AA+,AA+,63.9678,64.086,64.3979,65.6622,66.7261,67.4467
0980103.IB,09开滦债,0.0212,0.0627,0.0777,0.0952,0.0459,0.0594,100.5764,1.5186,100.6192,1.3037,99.2085,0.8891,1.0733,0.6999,101.0158,103.0125,AAA,AAA,AAA,AAA,AAA,68.9049,68.2039,69.1209,70.7485,71.2571,71.3929
0980113.IB,09华能水电债,,,,0.5275,,,103.4672,1.6079,102.7597,1.3871,101.243,0.9641,1.1532,0.7721,103.3081,104.9396,AAA,AAA,AAA,AAA,AAA,,,,70.639,,
0980118.IB,09中核债1,0.0112,0.067,0.1319,0.3884,0.0016,0.1379,103.0955,1.6509,102.5137,1.4298,105.8466,0.9589,1.1959,0.8139,102.9049,104.5365,AAA,AAA,AAA,AAA,AAA,69.1634,69.8688,69.7489,70.0388,69.776,70.5758
0980119.IB,09中核债2,0.0112,0.067,0.1319,0.3884,0.0016,0.1379,100.9851,1.6412,101.4648,1.4219,104.256,0.9545,1.1898,0.8086,100.9743,102.7693,AAA,AAA,AAA,AAA,AAA,69.1634,69.8688,69.7489,70.0388,69.776,70.5758
0980123.IB,09晋交投债,0.0278,0.0529,0.1682,0.2642,-0.3151,0.0712,101.5268,1.6697,100.6395,1.4514,104.6514,0.9813,1.2213,0.8469,101.6207,103.6513,AA+,AA+,AA,AA,AA,74.3241,77.1221,75.033,72.6078,74.4202,71.4998
0980133.IB,09国网债02,0.0684,0.169,0.2629,0.306,0.1037,0.1677,102.3285,1.7938,101.9311,1.5734,105.2903,1.1039,1.3401,0.9572,102.2142,103.8868,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
0980138.IB,09咸城投债,,-0.0162,,-0.3127,,-0.1877,104.051,1.8015,109.9387,1.5821,107.6889,1.117,1.3527,0.9265,104.0383,106.1828,AA+,AA+,AA+,AA+,AA+,,71.9187,,72.0128,,75.3235
098013.IB,09巨化债,0.0035,0.0257,0.0485,0.0434,0.0176,0.0977,105.375,1.2461,104.2823,1.0289,102.756,0.6267,0.8574,0.4285,105.597,101.4626,AAA,AAA,AAA,AAA,AAA,58.8478,61.4303,63.3786,63.2824,63.7095,65.3139
0980143.IB,09南山债02,0.0055,0.0255,0.0211,0.0145,0.0097,0.0365,110.4687,1.725,109.0113,1.6305,106.841,1.1666,1.4015,0.9754,103.0906,105.2681,AAA,AAA,AAA,AAA,AAA,50.1529,51.1697,52.6232,52.0585,51.7585,52.9936
0980146.IB,09中航工债固,-0.0381,-0.0633,-0.0849,0.0768,-0.047,-0.0654,108.7025,1.8416,107.4953,1.7079,105.8097,1.2357,1.4734,1.0405,103.0118,104.5746,AAA,AAA,AAA,AAA,AAA,69.3994,67.7563,67.0773,66.6542,66.1925,66.52
0980157.IB,09渝高速债,0.1068,0.2284,0.356,0.4911,0.1623,0.2283,107.5923,1.8338,107.0319,1.7173,105.031,1.2511,1.4866,1.0588,101.5999,103.5523,AAA,AAA,AAA,AAA,AAA,70.1402,69.9097,70.4743,70.8025,71.1012,70.925
0980168.IB,09中化化肥债,-0.1336,-0.0912,-0.0643,-0.1151,-0.065,-0.3126,105.5779,1.9005,105.4844,1.7666,103.5608,1.2991,1.5347,1.1063,100.3109,102.1196,AAA,AAA,AAA,AAA,AAA,70.9826,68.8916,70.0484,77.7171,80.3564,67.1655
0980170.IB,09嘉高投债,0.0379,0.2748,-0.0075,0.1995,-0.0498,0.024,106.1945,1.8648,105.9086,1.7511,103.6185,1.2874,1.5226,1.0979,99.9506,102.1213,AA+,AA+,AA+,AA+,AA+,52.4171,52.752,53.346,49.9483,50.2568,51.5598
0980179.IB,09沪国盛债01,,0.0279,,0.0072,,0.0199,106.243,1.9734,105.786,1.84,103.9935,1.3718,1.6072,1.1778,100.8097,102.5237,AAA,AAA,AAA,AAA,AAA,,20.0757,,21.9754,,27.2189
0980180.IB,09沪国盛债02,,0.0279,,0.0072,,0.0199,105.0242,1.9561,105.0842,1.8262,103.1593,1.3612,1.595,1.1685,99.664,101.5289,AAA,AAA,AAA,AAA,AAA,,20.0757,,21.9754,,27.2189
0980182.IB,09滨海建投债,0.0495,0.1992,0.3568,0.1393,0.1005,0.153,105.1381,1.9507,105.1907,1.8241,103.2268,1.3599,1.5932,1.1675,99.6425,101.5513,AAA,AAA,AAA,AAA,AAA,56.3836,54.7404,53.0406,53.7862,54.0085,55.3439
0980183.IB,09铁岭债,,-0.0881,,-0.0892,,-0.0266,107.1718,1.8828,105.2098,1.7848,103.4637,1.3166,1.5561,1.1218,100.254,102.4112,AA+,AA+,AA+,AA+,AA+,,73.4363,,74.2944,,73.1905
0980185.IB,09国网债04,0.0684,0.169,0.2629,0.306,0.1037,0.1677,105.5016,1.9794,105.4156,1.8461,103.6493,1.3794,1.6139,1.1852,100.318,102.0928,AAA,AAA,AAA,AAA,AAA,56.6182,56.9627,57.4999,57.6163,57.1029,57.1343
0980186.IB,09海航债,,0.1091,,0.2139,,0.1216,109.8415,1.8931,101.867,1.7523,99.6684,1.275,1.4953,1.0848,97.4828,96.6593,AAA,AAA,AAA,AAA,AAA,,59.5371,,59.7841,,58.9839
0980187.IB,09久事债,0.1228,0.0856,,0.0082,,,104.8652,1.9826,104.9198,1.8505,103.0186,1.385,1.619,1.192,99.5829,101.4212,AAA,AAA,AAA,AAA,AAA,41.5918,40.7431,,37.5825,,
098019.IB,09渝地产债,0.0274,0.0237,0.3132,0.5689,0.0124,0.0858,105.8607,1.269,104.5097,1.0529,102.8832,0.6539,0.884,0.4572,106.218,101.644,AA+,AA+,AA+,AA+,AA+,62.4473,64.3195,62.6909,62.4073,61.7664,61.8502
098034.IB,09浙交投债,-0.013,0.0136,0.0148,-0.0634,0.04,0.042,102.9218,1.3428,102.9432,1.1261,101.3694,0.7122,0.9409,0.5163,103.1966,100.063,AAA,AAA,AAA,AAA,AAA,67.0934,67.4554,66.8948,65.8308,66.2607,66.5595
098038.IB,09济城建债,,0.2346,,0.0493,,-0.0445,103.0196,1.3491,102.922,1.1324,101.4194,0.7159,0.9459,0.5193,103.2893,100.2249,AAA,AAA,AAA,AAA,AAA,,63.2134,,72.857,,76.518
098055.IB,09豫投债,-0.0493,0.0016,0.0086,0.0086,0.0084,0.0033,106.2131,1.406,104.3324,1.1865,102.9352,0.7726,0.9512,0.5752,106.191,107.7102,AAA,AAA,AAA,AAA,AAA,64.1324,66.6739,66.2949,66.2813,67.6729,68.7261
098056.IB,09潍投债,,-0.0539,,0.0276,,0.0055,107.1365,1.388,104.7817,1.1694,103.2165,0.7672,0.9364,0.5721,107.2183,109.0092,AA+,AA+,AA,AA,AA,,29.98,,28.3076,,27.741
098058.IB,09淄博城运债,0.0373,0.6354,0.9386,0.9575,0.4812,0.5081,24.7209,0.9704,12.3497,0.7564,12.1513,0.7944,0.5222,0.6015,24.8805,25.2525,AA+,AA+,AA+,AA+,AA+,46.3102,42.4445,41.213,39.2271,41.2092,35.6631
098059.IB,09五凌债,,,0.3174,0.5128,0.3255,0.0535,103.4712,1.435,102.9894,1.2151,101.6161,0.7931,0.9814,0.5961,103.4075,105.0604,AAA,AAA,AAA,AAA,AAA,,,72.0893,72.0045,73.2685,72.5178
098072.IB,09泰达债,-0.0514,0.0048,-0.095,-0.0137,0.0064,0.0149,104.2482,1.4252,102.7819,1.2081,101.9547,0.8038,0.9766,0.6057,104.4851,106.4013,AAA,AAA,AAA,AAA,AAA,77.6525,77.4576,77.9241,76.7385,76.7536,76.4726
098075.IB,09冀能债02,0.0196,0.013,0.0285,0.0471,0.0101,0.0171,101.9351,1.4431,102.2116,1.2267,100.4883,0.8147,0.9961,0.6235,102.2268,104.2077,AAA,AAA,AAA,AAA,AAA,82.4808,82.5295,82.513,82.7883,82.7722,81.6451
098078.IB,09华润债01,-0.0161,-0.0075,0.0179,0.0608,-0.007,0.0031,101.7275,1.4647,102.1407,1.2466,100.6483,0.8266,1.0143,0.6325,101.842,103.6251,AAA,AAA,AAA,AAA,AAA,71.199,70.783,70.9237,70.199,70.3803,71.0903
098079.IB,09华润债02,-0.0161,-0.0075,0.0179,0.0608,-0.007,0.0031,103.6906,5.4876,101.5303,5.2274,102.2101,5.0225,5.0113,4.7997,101.1934,103.8744,AAA,AAA,AAA,AAA,AAA,71.199,70.783,70.9237,70.199,70.3803,71.0903
098080.IB,09招轮债,,,,-0.1318,,,102.548,1.474,102.4816,1.2545,101.1059,0.8308,1.0209,0.635,102.526,104.1732,AAA,AAA,AAA,AAA,AAA,,,,54.6112,,
098083.IB,09鲁高速债,-0.0296,0.0321,0.0184,0.0638,-0.0825,-0.0411,101.5049,1.4764,102.0032,1.2591,100.3128,0.8407,1.0269,0.6492,101.7082,103.4998,AAA,AAA,AAA,AAA,AAA,75.2545,75.6435,75.3561,71.9365,71.7809,70.7195
