证券代码,证券简称,现金流量比 2017一季,现金流量比 2017中报,现金流量比 2017三季,现金流量比 2017年报,现金流量比 2018一季,现金流量比 2018中报,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2018-09-14,估价修正久期 2017-12-29,估价全价 2018-06-29,估价修正久期 2018-06-29,估价修正久期 2018-03-30,估价修正久期 2018-09-14,估价全价 2017-12-29,估价全价 2018-03-30,"债项评级  2018-09-14 ","债项评级  2018-06-29 ","债项评级  2018-03-30 ","债项评级  2017-12-29 ","债项评级  2017-10-10 ","资产负债率  2017一季 ","资产负债率  2017中报 ","资产负债率  2017三季 ","资产负债率  2017年报 ","资产负债率  2018一季 ","资产负债率  2018中报 "
124328.SH,PR渝鸿业,0,0.0045,0.0013,0.0298,,0.0926,62.0363,1.4888,40.7577,1.2701,40.0947,1.3112,1.0385,1.1167,62.2833,63.3557,AAA,AAA,AA+,AA+,AA+,61.9382,59.998,60.4332,57.2712,,55.3831
124330.SH,13龙工贸,0.0494,0.2165,0.1925,0.084,0.0287,0.0571,104.1781,1.662,102.6198,0.1842,100.8198,2.3427,2.588,2.1491,104.962,100.3195,AA,AA,AA,AA,AA,61.9523,60.9873,58.0738,60.5028,61.9533,62.2634
124332.SH,PR湘振湘,,0.008,0.1229,0.0187,,-0.0473,62.3345,1.6678,41.3646,1.445,64.2809,0.9776,1.2158,1.3078,62.3565,63.5153,AA+,AA+,AA+,AA+,AA+,,56.1298,56.4655,57.6427,,61.3056
124333.SH,PR铜城建,,0.318,,0.573,,0.0989,62.2271,1.6683,41.3079,1.4457,64.2115,0.9787,1.2167,1.309,62.2609,63.4326,AA+,AA+,AA+,AA+,AA+,,54.0223,,50.6676,,51.1122
124334.SH,PR博国资,,0.0388,0.0182,-0.3371,,0.0182,62.0943,1.652,40.6186,1.4323,64.071,0.9593,1.2023,1.2829,62.2851,63.4535,AA,AA,AA,AA,AA,,43.4562,43.3581,50.9673,,49.8772
124335.SH,PR海国资,0.0168,-0.0487,-0.1041,0.0614,-0.0982,-0.2269,61.3629,1.6789,40.9967,1.4566,63.3527,0.9915,1.2262,1.3171,61.4024,62.4732,AAA,AAA,AAA,AAA,AAA,68.5884,68.5177,67.0355,66.9787,67.4855,67.6456
124336.SH,PR渝地债,0.0274,0.0237,0.3132,0.5689,0.0124,0.0858,61.7194,1.7051,41.0351,1.4823,63.6993,1.0157,1.2536,1.3454,61.7397,62.9204,AAA,AAA,AAA,AAA,AAA,62.4473,64.3195,62.6909,62.4073,61.7664,61.8502
124337.SH,PR铜建设,0.051,-0.0605,-0.0641,-0.1544,0.0988,0.1548,62.3371,1.71,41.344,1.4874,64.3786,1.0213,1.2589,1.353,62.3673,63.5762,AA,AA,AA,AA,AA,48.061,47.5512,49.5501,47.8753,48.7552,49.8236
124338.SH,PR闽经开,,-0.2175,-0.1318,-0.1487,-0.092,-0.3558,62.7024,1.6699,41.5553,1.4466,64.5552,0.9781,1.2168,1.3085,62.6929,63.8221,AA+,AA+,AA+,AA+,AA+,,56.9047,60.1806,58.3213,59.2269,54.8407
124339.SH,PR渝城投,-0.0221,0.1828,0.2408,0.2999,0.0228,0.161,61.368,1.4729,40.9796,1.2528,40.1991,1.299,1.0213,1.1083,61.53,62.5576,AAA,AAA,AAA,AAA,AAA,50.9558,50.7559,48.5085,43.869,43.5246,42.2873
124340.SH,PR张保债,-0.1604,-0.3772,-0.1184,-0.1078,-0.4918,-0.706,62.4899,1.7015,41.4248,1.4789,64.5413,1.0128,1.2504,1.3449,62.5256,63.7362,AA,AA,AA,AA,AA,49.313,49.1633,51.7153,52.3344,57.4413,58.4353
