,code,name
220,146450.SH,王晁07
221,146449.SH,王晁06
222,146448.SH,王晁05
223,146447.SH,王晁04
224,149396.SH,同心1优
225,124285.SH,同煤暂停
226,142582.SH,铁建1A
227,149106.SH,铁建002A
228,149120.SH,铁建001A
229,111906.SZ,铁道1822
230,111905.SZ,铁道1821
231,111904.SZ,铁道1820
232,111903.SZ,铁道1819
233,111902.SZ,铁道1818
234,111901.SZ,铁道1817
235,146783.SH,天津住A3
236,146782.SH,天津住A2
237,119406.SZ,天虹优先
238,146765.SH,天风17A3
239,116661.SZ,特锐德01
240,149475.SH,太盟8A3
241,149474.SH,太盟8A2
242,142936.SH,太盟7C
243,142935.SH,太盟7B
244,142571.SH,太盟6C
245,142570.SH,太盟6B
246,142293.SH,太盟5A9
247,142292.SH,太盟5A8
248,142294.SH,太盟5A10
249,146398.SH,泰禾优A
250,146703.SH,苏银1号
251,131303.SH,苏帕河9
252,131302.SH,苏帕河8
253,131301.SH,苏帕河7
254,131300.SH,苏帕河6
255,131299.SH,苏帕河5
256,131298.SH,苏帕河4
257,149278.SH,松江A9
258,149277.SH,松江A8
259,149276.SH,松江A7
260,149275.SH,松江A6
261,149274.SH,松江A5
262,149273.SH,松江A4
263,149272.SH,松江A3
264,149279.SH,松江A10
265,139006.SZ,松花湖09
266,139005.SZ,松花湖08
267,139004.SZ,松花湖07
268,139003.SZ,松花湖06
269,139002.SZ,松花湖05
270,139001.SZ,松花湖04
271,116999.SZ,松花湖03
272,116998.SZ,松花湖02
273,116997.SZ,松花湖01
274,146626.SH,顺丰1A
275,146064.SH,疏浚1优
276,142741.SH,双塔C
277,142740.SH,双塔B
278,149649.SH,首置18优
279,146621.SH,首开优先
280,123924.SH,首航04
281,123923.SH,首航03
282,142578.SH,实业C
283,142577.SH,实业B
284,116926.SZ,狮桥十A1
285,116844.SZ,狮桥9优A
286,116983.SZ,狮桥11A
287,116645.SZ,狮桥08A
288,116581.SZ,狮桥07A
289,116557.SZ,狮桥06A
290,119284.SZ,狮桥02A
291,123872.SH,世茂天05
292,123871.SH,世茂天04
293,131706.SH,世茂酒16
294,131705.SH,世茂酒15
295,131704.SH,世茂酒14
296,131703.SH,世茂酒13
297,131702.SH,世茂酒12
298,131701.SH,世茂酒11
299,131700.SH,世茂酒10
300,131699.SH,世茂酒09
301,131698.SH,世茂酒08
302,131697.SH,世茂酒07
303,131696.SH,世茂酒06
304,131695.SH,世茂酒05
305,116723.SZ,申证2A01
306,116643.SZ,申证1A01
307,116924.SZ,申万1A01
308,131220.SH,申通A03
309,116133.SZ,深南优10
310,116132.SZ,深南优09
311,116131.SZ,深南优08
312,116130.SZ,深南优07
313,116129.SZ,深南优06
314,116909.SZ,深借呗1A
315,119202.SZ,陕交通05
316,119201.SZ,陕交通04
