,symbol,special_type,shenwan_industry,status
000670.XSHE,盈方微,Normal,801080.INDX,Active
603429.XSHG,集友股份,Normal,801140.INDX,Active
300027.XSHE,华谊兄弟,Normal,801760.INDX,Active
002149.XSHE,西部材料,Normal,801050.INDX,Active
600967.XSHG,内蒙一机,Normal,801740.INDX,Active
600753.XSHG,东方银星,Normal,801200.INDX,Active
002462.XSHE,嘉事堂,Normal,801150.INDX,Active
300110.XSHE,华仁药业,Normal,801150.INDX,Active
000036.XSHE,华联控股,Normal,801180.INDX,Active
300529.XSHE,健帆生物,Normal,801150.INDX,Active
601919.XSHG,中远海控,Normal,801170.INDX,Active
000406.XSHE,石油大明,Normal,,Delisted
000759.XSHE,中百集团,Normal,801200.INDX,Active
600186.XSHG,莲花健康,Normal,801120.INDX,Active
600999.XSHG,招商证券,Normal,801790.INDX,Active
002465.XSHE,海格通信,Normal,801770.INDX,Active
000600.XSHE,建投能源,Normal,801160.INDX,Active
002725.XSHE,跃岭股份,Normal,801880.INDX,Active
600900.XSHG,长江电力,Normal,801160.INDX,Active
600287.XSHG,江苏舜天,Normal,801200.INDX,Active
002692.XSHE,睿康股份,Normal,801730.INDX,Active
600775.XSHG,南京熊猫,Normal,801770.INDX,Active
000034.XSHE,神州数码,Normal,801750.INDX,Active
000515.XSHE,攀渝钛业,Normal,,Delisted
603396.XSHG,金辰股份,Normal,801730.INDX,Active
300278.XSHE,华昌达,Normal,801890.INDX,Active
300469.XSHE,信息发展,Normal,801750.INDX,Active
600836.XSHG,界龙实业,Normal,801140.INDX,Active
000569.XSHE,长城股份,Normal,,Delisted
000529.XSHE,广弘控股,Normal,801230.INDX,Active
600495.XSHG,晋西车轴,Normal,801890.INDX,Active
002840.XSHE,华统股份,Normal,801120.INDX,Active
603779.XSHG,威龙股份,Normal,801120.INDX,Active
603085.XSHG,天成自控,Normal,801880.INDX,Active
002542.XSHE,中化岩土,Normal,801720.INDX,Active
600659.XSHG,*ST花雕,StarST,,Delisted
600754.XSHG,锦江股份,Normal,801210.INDX,Active
600978.XSHG,宜华生活,Normal,801140.INDX,Active
603883.XSHG,老百姓,Normal,801150.INDX,Active
002261.XSHE,拓维信息,Normal,801760.INDX,Active
002538.XSHE,司尔特,Normal,801030.INDX,Active
300560.XSHE,中富通,Normal,801770.INDX,Active
300225.XSHE,金力泰,Normal,801030.INDX,Active
600512.XSHG,腾达建设,Normal,801720.INDX,Active
600617.XSHG,国新能源,Normal,801160.INDX,Active
000800.XSHE,一汽轿车,Normal,801880.INDX,Active
300309.XSHE,吉艾科技,Normal,801790.INDX,Active
600113.XSHG,浙江东日,Normal,801200.INDX,Active
603336.XSHG,宏辉果蔬,Normal,801010.INDX,Active
002925.XSHE,盈趣科技,Normal,801080.INDX,Active
000623.XSHE,吉林敖东,Normal,801150.INDX,Active
300656.XSHE,民德电子,Normal,801080.INDX,Active
002742.XSHE,三圣股份,Normal,801710.INDX,Active
002505.XSHE,大康农业,Normal,801010.INDX,Active
600139.XSHG,西部资源,Normal,801230.INDX,Active
300087.XSHE,荃银高科,Normal,801010.INDX,Active
300169.XSHE,天晟新材,Normal,801030.INDX,Active
600795.XSHG,国电电力,Normal,801160.INDX,Active
002504.XSHE,弘高创意,Normal,801720.INDX,Active
000602.XSHE,金马集团,Normal,,Delisted
000859.XSHE,国风塑业,Normal,801030.INDX,Active
002611.XSHE,东方精工,Normal,801880.INDX,Active
600405.XSHG,动力源,Normal,801730.INDX,Active
002696.XSHE,百洋股份,Normal,801010.INDX,Active
600908.XSHG,无锡银行,Normal,801780.INDX,Active
300359.XSHE,全通教育,Normal,801760.INDX,Active
600382.XSHG,广东明珠,Normal,801230.INDX,Active
603301.XSHG,振德医疗,Normal,801150.INDX,Active
000573.XSHE,粤宏远A,Normal,801180.INDX,Active
002128.XSHE,露天煤业,Normal,801020.INDX,Active
601086.XSHG,国芳集团,Normal,801200.INDX,Active
002385.XSHE,大北农,Normal,801010.INDX,Active
000501.XSHE,鄂武商A,Normal,801200.INDX,Active
600346.XSHG,恒力股份,Normal,801030.INDX,Active
002300.XSHE,太阳电缆,Normal,801730.INDX,Active
300197.XSHE,铁汉生态,Normal,801720.INDX,Active
603308.XSHG,应流股份,Normal,801890.INDX,Active
600051.XSHG,宁波联合,Normal,801230.INDX,Active
603260.XSHG,合盛硅业,Normal,801050.INDX,Active
000752.XSHE,西藏发展,Normal,801120.INDX,Active
600515.XSHG,海航基础,Normal,801180.INDX,Active
000667.XSHE,美好置业,Normal,801180.INDX,Active
600595.XSHG,中孚实业,Normal,801050.INDX,Active
002662.XSHE,京威股份,Normal,801880.INDX,Active
300743.XSHE,天地数码,Normal,801030.INDX,Active
002793.XSHE,东音股份,Normal,801890.INDX,Active
600503.XSHG,华丽家族,Normal,801180.INDX,Active
002020.XSHE,京新药业,Normal,801150.INDX,Active
600103.XSHG,青山纸业,Normal,801140.INDX,Active
300059.XSHE,东方财富,Normal,801760.INDX,Active
002670.XSHE,国盛金控,Normal,801790.INDX,Active
600036.XSHG,招商银行,Normal,801780.INDX,Active
603076.XSHG,乐惠国际,Normal,801890.INDX,Active
600655.XSHG,豫园股份,Normal,801200.INDX,Active
300166.XSHE,东方国信,Normal,801750.INDX,Active
002511.XSHE,中顺洁柔,Normal,801140.INDX,Active
600688.XSHG,上海石化,Normal,801030.INDX,Active
000430.XSHE,张家界,Normal,801210.INDX,Active
000608.XSHE,阳光股份,Normal,801180.INDX,Active
600209.XSHG,*ST罗顿,StarST,801720.INDX,Active
600641.XSHG,万业企业,Normal,801180.INDX,Active
300147.XSHE,香雪制药,Normal,801150.INDX,Active
600553.XSHG,太行水泥,Normal,,Delisted
300591.XSHE,万里马,Normal,801130.INDX,Active
002674.XSHE,兴业科技,Normal,801130.INDX,Active
601997.XSHG,贵阳银行,Normal,801780.INDX,Active
300566.XSHE,激智科技,Normal,801080.INDX,Active
603776.XSHG,永安行,Normal,801880.INDX,Active
002678.XSHE,珠江钢琴,Normal,801140.INDX,Active
000558.XSHE,莱茵体育,Normal,801180.INDX,Active
000923.XSHE,河北宣工,Normal,801890.INDX,Active
603803.XSHG,瑞斯康达,Normal,801770.INDX,Active
603889.XSHG,新澳股份,Normal,801130.INDX,Active
300267.XSHE,尔康制药,Normal,801150.INDX,Active
600076.XSHG,康欣新材,Normal,801140.INDX,Active
601727.XSHG,上海电气,Normal,801730.INDX,Active
000790.XSHE,泰合健康,Normal,801150.INDX,Active
000505.XSHE,京粮控股,Normal,801010.INDX,Active
000333.XSHE,美的集团,Normal,801110.INDX,Active
603322.XSHG,超讯通信,Normal,801770.INDX,Active
300178.XSHE,腾邦国际,Normal,801210.INDX,Active
002703.XSHE,浙江世宝,Normal,801880.INDX,Active
603811.XSHG,诚意药业,Normal,801150.INDX,Active
000413.XSHE,东旭光电,Normal,801080.INDX,Active
002497.XSHE,雅化集团,Normal,801030.INDX,Active
002288.XSHE,超华科技,Normal,801080.INDX,Active
600048.XSHG,保利地产,Normal,801180.INDX,Active
600687.XSHG,刚泰控股,Normal,801050.INDX,Active
603180.XSHG,金牌厨柜,Normal,801140.INDX,Active
600589.XSHG,广东榕泰,Normal,801030.INDX,Active
603168.XSHG,莎普爱思,Normal,801150.INDX,Active
600158.XSHG,中体产业,Normal,801760.INDX,Active
600053.XSHG,九鼎投资,Normal,801790.INDX,Active
603655.XSHG,朗博科技,Normal,801880.INDX,Active
600185.XSHG,格力地产,Normal,801180.INDX,Active
002141.XSHE,贤丰控股,Normal,801080.INDX,Active
002660.XSHE,茂硕电源,Normal,801080.INDX,Active
603877.XSHG,太平鸟,Normal,801130.INDX,Active
000957.XSHE,中通客车,Normal,801880.INDX,Active
600786.XSHG,东方锅炉,Normal,,Delisted
600200.XSHG,江苏吴中,Normal,801230.INDX,Active
000850.XSHE,华茂股份,Normal,801130.INDX,Active
603718.XSHG,海利生物,Normal,801010.INDX,Active
603365.XSHG,水星家纺,Normal,801130.INDX,Active
002185.XSHE,华天科技,Normal,801080.INDX,Active
002308.XSHE,威创股份,Normal,801750.INDX,Active
300640.XSHE,德艺文创,Normal,801140.INDX,Active
600016.XSHG,民生银行,Normal,801780.INDX,Active
002053.XSHE,云南能投,Normal,801030.INDX,Active
600035.XSHG,楚天高速,Normal,801170.INDX,Active
002917.XSHE,金奥博,Normal,801030.INDX,Active
601985.XSHG,中国核电,Normal,801160.INDX,Active
000070.XSHE,特发信息,Normal,801770.INDX,Active
300660.XSHE,江苏雷利,Normal,801730.INDX,Active
601952.XSHG,苏垦农发,Normal,801010.INDX,Active
000985.XSHE,大庆华科,Normal,801030.INDX,Active
300523.XSHE,辰安科技,Normal,801750.INDX,Active
600587.XSHG,新华医疗,Normal,801150.INDX,Active
603569.XSHG,长久物流,Normal,801170.INDX,Active
603557.XSHG,起步股份,Normal,801130.INDX,Active
000692.XSHE,惠天热电,Normal,801160.INDX,Active
300117.XSHE,嘉寓股份,Normal,801710.INDX,Active
000617.XSHE,中油资本,Normal,801790.INDX,Active
300708.XSHE,聚灿光电,Normal,801080.INDX,Active
002454.XSHE,松芝股份,Normal,801880.INDX,Active
601398.XSHG,工商银行,Normal,801780.INDX,Active
000150.XSHE,宜华健康,Normal,801150.INDX,Active
300306.XSHE,远方信息,Normal,801890.INDX,Active
002289.XSHE,宇顺电子,Normal,801080.INDX,Active
600929.XSHG,湖南盐业,Normal,801030.INDX,Active
601139.XSHG,深圳燃气,Normal,801160.INDX,Active
002307.XSHE,北新路桥,Normal,801720.INDX,Active
600373.XSHG,中文传媒,Normal,801760.INDX,Active
300437.XSHE,清水源,Normal,801030.INDX,Active
000042.XSHE,中洲控股,Normal,801180.INDX,Active
601857.XSHG,中国石油,Normal,801020.INDX,Active
600162.XSHG,香江控股,Normal,801180.INDX,Active
002702.XSHE,海欣食品,Normal,801120.INDX,Active
300187.XSHE,永清环保,Normal,801160.INDX,Active
002740.XSHE,爱迪尔,Normal,801140.INDX,Active
600884.XSHG,杉杉股份,Normal,801080.INDX,Active
002156.XSHE,通富微电,Normal,801080.INDX,Active
300009.XSHE,安科生物,Normal,801150.INDX,Active
300537.XSHE,广信材料,Normal,801030.INDX,Active
601878.XSHG,浙商证券,Normal,801790.INDX,Active
600686.XSHG,金龙汽车,Normal,801880.INDX,Active
002151.XSHE,北斗星通,Normal,801740.INDX,Active
603626.XSHG,科森科技,Normal,801890.INDX,Active
000662.XSHE,天夏智慧,Normal,801750.INDX,Active
601099.XSHG,太平洋,Normal,801790.INDX,Active
000629.XSHE,*ST钒钛,StarST,801020.INDX,TemporarySuspended
002669.XSHE,康达新材,Normal,801030.INDX,Active
000981.XSHE,银亿股份,Normal,801180.INDX,Active
002830.XSHE,名雕股份,Normal,801720.INDX,Active
300095.XSHE,华伍股份,Normal,801890.INDX,Active
300406.XSHE,九强生物,Normal,801150.INDX,Active
601616.XSHG,广电电气,Normal,801730.INDX,Active
603026.XSHG,石大胜华,Normal,801030.INDX,Active
300297.XSHE,蓝盾股份,Normal,801750.INDX,Active
600497.XSHG,驰宏锌锗,Normal,801050.INDX,Active
600217.XSHG,中再资环,Normal,801160.INDX,Active
000587.XSHE,金洲慈航,Normal,801140.INDX,Active
600658.XSHG,电子城,Normal,801180.INDX,Active
600897.XSHG,厦门空港,Normal,801170.INDX,Active
600571.XSHG,信雅达,Normal,801750.INDX,Active
000677.XSHE,恒天海龙,Normal,801030.INDX,Active
300440.XSHE,运达科技,Normal,801750.INDX,Active
000672.XSHE,上峰水泥,Normal,801710.INDX,Active
603829.XSHG,洛凯股份,Normal,801730.INDX,Active
600529.XSHG,山东药玻,Normal,801150.INDX,Active
000078.XSHE,海王生物,Normal,801150.INDX,Active
600389.XSHG,江山股份,Normal,801030.INDX,Active
600105.XSHG,永鼎股份,Normal,801770.INDX,Active
000524.XSHE,岭南控股,Normal,801210.INDX,Active
300023.XSHE,宝德股份,Normal,801790.INDX,Active
002278.XSHE,神开股份,Normal,801890.INDX,Active
300128.XSHE,锦富技术,Normal,801080.INDX,Active
603138.XSHG,海量数据,Normal,801750.INDX,Active
002768.XSHE,国恩股份,Normal,801030.INDX,Active
600516.XSHG,方大炭素,Normal,801050.INDX,Active
601186.XSHG,中国铁建,Normal,801720.INDX,Active
603977.XSHG,国泰集团,Normal,801030.INDX,Active
002716.XSHE,金贵银业,Normal,801050.INDX,Active
300409.XSHE,道氏技术,Normal,801030.INDX,Active
600171.XSHG,上海贝岭,Normal,801080.INDX,Active
300215.XSHE,电科院,Normal,801730.INDX,Active
600030.XSHG,中信证券,Normal,801790.INDX,Active
603126.XSHG,中材节能,Normal,801160.INDX,Active
300717.XSHE,华信新材,Normal,801030.INDX,Active
000688.XSHE,国城矿业,Normal,801050.INDX,Active
002402.XSHE,和而泰,Normal,801080.INDX,Active
002113.XSHE,天润数娱,Normal,801760.INDX,Active
000024.XSHE,招商地产,Normal,,Delisted
002170.XSHE,芭田股份,Normal,801030.INDX,Active
002311.XSHE,海大集团,Normal,801010.INDX,Active
002032.XSHE,苏泊尔,Normal,801110.INDX,Active
002280.XSHE,联络互动,Normal,801750.INDX,Active
002499.XSHE,科林环保,Normal,801890.INDX,Active
002087.XSHE,新野纺织,Normal,801130.INDX,Active
002315.XSHE,焦点科技,Normal,801760.INDX,Active
300680.XSHE,隆盛科技,Normal,801880.INDX,Active
002455.XSHE,百川股份,Normal,801030.INDX,Active
603518.XSHG,维格娜丝,Normal,801130.INDX,Active
002210.XSHE,飞马国际,Normal,801170.INDX,Active
601206.XSHG,海尔施,Normal,,UNKNOWN
603466.XSHG,风语筑,Normal,801720.INDX,Active
002092.XSHE,中泰化学,Normal,801030.INDX,Active
300735.XSHE,光弘科技,Normal,801080.INDX,Active
002438.XSHE,江苏神通,Normal,801890.INDX,Active
000554.XSHE,泰山石油,Normal,801030.INDX,Active
600393.XSHG,粤泰股份,Normal,801180.INDX,Active
300235.XSHE,方直科技,Normal,801750.INDX,Active
601599.XSHG,鹿港文化,Normal,801130.INDX,Active
001896.XSHE,豫能控股,Normal,801160.INDX,Active
300138.XSHE,晨光生物,Normal,801010.INDX,Active
600643.XSHG,爱建集团,Normal,801790.INDX,Active
603636.XSHG,南威软件,Normal,801750.INDX,Active
000951.XSHE,中国重汽,Normal,801880.INDX,Active
000780.XSHE,平庄能源,Normal,801020.INDX,Active
300378.XSHE,鼎捷软件,Normal,801750.INDX,Active
002348.XSHE,高乐股份,Normal,801140.INDX,Active
002905.XSHE,金逸影视,Normal,801760.INDX,Active
600202.XSHG,*ST哈空,StarST,801730.INDX,Active
002622.XSHE,融钰集团,Normal,801730.INDX,Active
002661.XSHE,克明面业,Normal,801120.INDX,Active
600704.XSHG,物产中大,Normal,801230.INDX,Active
002173.XSHE,创新医疗,Normal,801150.INDX,Active
600538.XSHG,国发股份,Normal,801150.INDX,Active
000519.XSHE,中兵红箭,Normal,801740.INDX,Active
002476.XSHE,宝莫股份,Normal,801030.INDX,Active
002048.XSHE,宁波华翔,Normal,801880.INDX,Active
603387.XSHG,基蛋生物,Normal,801150.INDX,Active
002778.XSHE,高科石化,Normal,801030.INDX,Active
300510.XSHE,金冠电气,Normal,801730.INDX,Active
000971.XSHE,高升控股,Normal,801770.INDX,Active
600796.XSHG,钱江生化,Normal,801150.INDX,Active
002838.XSHE,道恩股份,Normal,801030.INDX,Active
300500.XSHE,启迪设计,Normal,801720.INDX,Active
000953.XSHE,ST河化,ST,801030.INDX,Active
600551.XSHG,时代出版,Normal,801760.INDX,Active
002506.XSHE,协鑫集成,Normal,801730.INDX,Active
300175.XSHE,朗源股份,Normal,801010.INDX,Active
300367.XSHE,东方网力,Normal,801750.INDX,Active
603090.XSHG,宏盛股份,Normal,801890.INDX,Active
002490.XSHE,山东墨龙,Normal,801890.INDX,Active
601200.XSHG,上海环境,Normal,801160.INDX,Active
002169.XSHE,智光电气,Normal,801730.INDX,Active
000601.XSHE,韶能股份,Normal,801160.INDX,Active
600195.XSHG,中牧股份,Normal,801010.INDX,Active
002605.XSHE,姚记扑克,Normal,801140.INDX,Active
600370.XSHG,三房巷,Normal,801130.INDX,Active
603928.XSHG,兴业股份,Normal,801030.INDX,Active
601111.XSHG,中国国航,Normal,801170.INDX,Active
300630.XSHE,普利制药,Normal,801150.INDX,Active
600223.XSHG,鲁商置业,Normal,801180.INDX,Active
000797.XSHE,中国武夷,Normal,801180.INDX,Active
000982.XSHE,*ST中绒,StarST,801130.INDX,Active
600703.XSHG,三安光电,Normal,801080.INDX,Active
002183.XSHE,怡亚通,Normal,801170.INDX,Active
603588.XSHG,高能环境,Normal,801160.INDX,Active
002089.XSHE,新海宜,Normal,801770.INDX,Active
000765.XSHE,*ST华信,StarST,,Delisted
002663.XSHE,普邦股份,Normal,801720.INDX,Active
300270.XSHE,中威电子,Normal,801750.INDX,Active
600184.XSHG,光电股份,Normal,801740.INDX,Active
300322.XSHE,硕贝德,Normal,801080.INDX,Active
002546.XSHE,新联电子,Normal,801730.INDX,Active
002705.XSHE,新宝股份,Normal,801110.INDX,Active
002378.XSHE,章源钨业,Normal,801050.INDX,Active
000038.XSHE,深大通,Normal,801760.INDX,Active
600649.XSHG,城投控股,Normal,801180.INDX,Active
000409.XSHE,*ST地矿,StarST,801230.INDX,Active
002175.XSHE,东方网络,Normal,801760.INDX,Active
600610.XSHG,*ST毅达,StarST,801720.INDX,Active
002397.XSHE,梦洁股份,Normal,801130.INDX,Active
002739.XSHE,万达电影,Normal,801760.INDX,Active
300375.XSHE,鹏翎股份,Normal,801880.INDX,Active
300482.XSHE,万孚生物,Normal,801150.INDX,Active
601798.XSHG,*ST蓝科,StarST,801890.INDX,Active
603818.XSHG,曲美家居,Normal,801140.INDX,Active
300123.XSHE,亚光科技,Normal,801740.INDX,Active
000817.XSHE,辽河油田,Normal,,Delisted
600225.XSHG,天津松江,Normal,801180.INDX,Active
300224.XSHE,正海磁材,Normal,801050.INDX,Active
601377.XSHG,兴业证券,Normal,801790.INDX,Active
002375.XSHE,亚厦股份,Normal,801720.INDX,Active
300209.XSHE,天泽信息,Normal,801750.INDX,Active
600235.XSHG,民丰特纸,Normal,801140.INDX,Active
300724.XSHE,捷佳伟创,Normal,,UNKNOWN
300693.XSHE,盛弘股份,Normal,801730.INDX,Active
002026.XSHE,山东威达,Normal,801890.INDX,Active
600116.XSHG,三峡水利,Normal,801160.INDX,Active
002055.XSHE,得润电子,Normal,801080.INDX,Active
002588.XSHE,史丹利,Normal,801030.INDX,Active
002797.XSHE,第一创业,Normal,801790.INDX,Active
300046.XSHE,台基股份,Normal,801080.INDX,Active
000062.XSHE,深圳华强,Normal,801080.INDX,Active
603605.XSHG,珀莱雅,Normal,801030.INDX,Active
000576.XSHE,广东甘化,Normal,801010.INDX,Active
600387.XSHG,海越股份,Normal,801030.INDX,Active
600226.XSHG,瀚叶股份,Normal,801010.INDX,Active
600152.XSHG,维科技术,Normal,801080.INDX,Active
000803.XSHE,*ST金宇,StarST,801180.INDX,Active
002302.XSHE,西部建设,Normal,801710.INDX,Active
002405.XSHE,四维图新,Normal,801750.INDX,Active
002733.XSHE,雄韬股份,Normal,801730.INDX,Active
300107.XSHE,建新股份,Normal,801030.INDX,Active
000795.XSHE,英洛华,Normal,801050.INDX,Active
001696.XSHE,宗申动力,Normal,801880.INDX,Active
603106.XSHG,恒银金融,Normal,801750.INDX,Active
300521.XSHE,爱司凯,Normal,801890.INDX,Active
000535.XSHE,*ST猴王,StarST,,Delisted
300303.XSHE,聚飞光电,Normal,801080.INDX,Active
300133.XSHE,华策影视,Normal,801760.INDX,Active
600860.XSHG,京城股份,Normal,801890.INDX,Active
603861.XSHG,白云电器,Normal,801730.INDX,Active
002543.XSHE,万和电气,Normal,801110.INDX,Active
600019.XSHG,宝钢股份,Normal,801040.INDX,Active
603828.XSHG,柯利达,Normal,801720.INDX,Active
603001.XSHG,奥康国际,Normal,801130.INDX,Active
600463.XSHG,空港股份,Normal,801180.INDX,Active
300096.XSHE,易联众,Normal,801750.INDX,Active
002806.XSHE,华锋股份,Normal,801050.INDX,Active
600851.XSHG,海欣股份,Normal,801150.INDX,Active
600012.XSHG,皖通高速,Normal,801170.INDX,Active
600838.XSHG,上海九百,Normal,801200.INDX,Active
000729.XSHE,燕京啤酒,Normal,801120.INDX,Active
603421.XSHG,鼎信通讯,Normal,801770.INDX,Active
000599.XSHE,青岛双星,Normal,801030.INDX,Active
600694.XSHG,大商股份,Normal,801200.INDX,Active
603288.XSHG,海天味业,Normal,801120.INDX,Active
603008.XSHG,喜临门,Normal,801140.INDX,Active
300202.XSHE,聚龙股份,Normal,801750.INDX,Active
600663.XSHG,陆家嘴,Normal,801180.INDX,Active
002333.XSHE,罗普斯金,Normal,801710.INDX,Active
300498.XSHE,温氏股份,Normal,801010.INDX,Active
000166.XSHE,申万宏源,Normal,801790.INDX,Active
002799.XSHE,环球印务,Normal,801140.INDX,Active
000525.XSHE,红太阳,Normal,801030.INDX,Active
002176.XSHE,江特电机,Normal,801730.INDX,Active
002110.XSHE,三钢闽光,Normal,801040.INDX,Active
603978.XSHG,深圳新星,Normal,801050.INDX,Active
000584.XSHE,哈工智能,Normal,801890.INDX,Active
300141.XSHE,和顺电气,Normal,801730.INDX,Active
300008.XSHE,天海防务,Normal,801740.INDX,Active
002318.XSHE,久立特材,Normal,801040.INDX,Active
600476.XSHG,湘邮科技,Normal,801750.INDX,Active
000820.XSHE,神雾节能,Normal,801160.INDX,Active
000033.XSHE,新都退,Other,,Delisted
000983.XSHE,西山煤电,Normal,801020.INDX,Active
600890.XSHG,中房股份,Normal,801180.INDX,Active
002578.XSHE,闽发铝业,Normal,801050.INDX,Active
300288.XSHE,朗玛信息,Normal,801750.INDX,Active
002882.XSHE,金龙羽,Normal,801730.INDX,Active
600332.XSHG,白云山,Normal,801150.INDX,Active
601607.XSHG,上海医药,Normal,801150.INDX,Active
000540.XSHE,中天金融,Normal,801180.INDX,Active
002093.XSHE,国脉科技,Normal,801770.INDX,Active
600461.XSHG,洪城水业,Normal,801160.INDX,Active
300678.XSHE,中科信息,Normal,801750.INDX,Active
002689.XSHE,远大智能,Normal,801890.INDX,Active
600510.XSHG,黑牡丹,Normal,801130.INDX,Active
000715.XSHE,中兴商业,Normal,801200.INDX,Active
300319.XSHE,麦捷科技,Normal,801080.INDX,Active
002427.XSHE,*ST尤夫,StarST,801030.INDX,Active
600576.XSHG,祥源文化,Normal,801760.INDX,Active
300689.XSHE,澄天伟业,Normal,801770.INDX,Active
002728.XSHE,特一药业,Normal,801150.INDX,Active
000778.XSHE,新兴铸管,Normal,801040.INDX,Active
002599.XSHE,盛通股份,Normal,801140.INDX,Active
000017.XSHE,深中华A,Normal,801880.INDX,Active
600325.XSHG,华发股份,Normal,801180.INDX,Active
300377.XSHE,赢时胜,Normal,801750.INDX,Active
002217.XSHE,合力泰,Normal,801080.INDX,Active
300343.XSHE,联创互联,Normal,801760.INDX,Active
300549.XSHE,优德精密,Normal,801890.INDX,Active
600349.XSHG,富通昭和,Normal,,UNKNOWN
300171.XSHE,东富龙,Normal,801150.INDX,Active
002549.XSHE,凯美特气,Normal,801030.INDX,Active
600519.XSHG,贵州茅台,Normal,801120.INDX,Active
600822.XSHG,上海物贸,Normal,801200.INDX,Active
600520.XSHG,文一科技,Normal,801890.INDX,Active
600768.XSHG,宁波富邦,Normal,801050.INDX,Active
603233.XSHG,大参林,Normal,801150.INDX,Active
300015.XSHE,爱尔眼科,Normal,801150.INDX,Active
603208.XSHG,江山欧派,Normal,801140.INDX,Active
002688.XSHE,金河生物,Normal,801010.INDX,Active
601375.XSHG,中原证券,Normal,801790.INDX,Active
002344.XSHE,海宁皮城,Normal,801200.INDX,Active
002202.XSHE,金风科技,Normal,801730.INDX,Active
300589.XSHE,江龙船艇,Normal,801740.INDX,Active
600702.XSHG,舍得酒业,Normal,801120.INDX,Active
603919.XSHG,金徽酒,Normal,801120.INDX,Active
000597.XSHE,东北制药,Normal,801150.INDX,Active
001965.XSHE,招商公路,Normal,801170.INDX,Active
600537.XSHG,亿晶光电,Normal,801730.INDX,Active
002400.XSHE,省广集团,Normal,801760.INDX,Active
300295.XSHE,三六五网,Normal,801760.INDX,Active
300119.XSHE,瑞普生物,Normal,801010.INDX,Active
000621.XSHE,*ST比特,ST,,Delisted
002274.XSHE,华昌化工,Normal,801030.INDX,Active
300576.XSHE,容大感光,Normal,801030.INDX,Active
002755.XSHE,东方新星,Normal,801720.INDX,Active
300467.XSHE,迅游科技,Normal,801760.INDX,Active
002387.XSHE,维信诺,Normal,801750.INDX,Active
603268.XSHG,松发股份,Normal,801140.INDX,Active
300238.XSHE,冠昊生物,Normal,801150.INDX,Active
600458.XSHG,时代新材,Normal,801030.INDX,Active
002351.XSHE,漫步者,Normal,801080.INDX,Active
600109.XSHG,国金证券,Normal,801790.INDX,Active
002731.XSHE,萃华珠宝,Normal,801140.INDX,Active
000911.XSHE,南宁糖业,Normal,801010.INDX,Active
000699.XSHE,S*ST佳纸,StarST,,Delisted
000932.XSHE,华菱钢铁,Normal,801040.INDX,Active
300320.XSHE,海达股份,Normal,801030.INDX,Active
002115.XSHE,三维通信,Normal,801770.INDX,Active
600212.XSHG,江泉实业,Normal,801230.INDX,Active
002781.XSHE,奇信股份,Normal,801720.INDX,Active
300080.XSHE,易成新能,Normal,801890.INDX,Active
601611.XSHG,中国核建,Normal,801720.INDX,Active
603871.XSHG,嘉友国际,Normal,801170.INDX,Active
603878.XSHG,武进不锈,Normal,801040.INDX,Active
300444.XSHE,双杰电气,Normal,801730.INDX,Active
002627.XSHE,宜昌交运,Normal,801170.INDX,Active
600817.XSHG,ST宏盛,ST,801230.INDX,Active
600582.XSHG,天地科技,Normal,801890.INDX,Active
000011.XSHE,深物业A,Normal,801180.INDX,Active
000898.XSHE,鞍钢股份,Normal,801040.INDX,Active
600331.XSHG,宏达股份,Normal,801050.INDX,Active
000555.XSHE,神州信息,Normal,801750.INDX,Active
600909.XSHG,华安证券,Normal,801790.INDX,Active
002413.XSHE,雷科防务,Normal,801740.INDX,Active
600256.XSHG,广汇能源,Normal,801030.INDX,Active
002512.XSHE,达华智能,Normal,801750.INDX,Active
300291.XSHE,华录百纳,Normal,801760.INDX,Active
603599.XSHG,广信股份,Normal,801030.INDX,Active
002881.XSHE,美格智能,Normal,801080.INDX,Active
600466.XSHG,蓝光发展,Normal,801180.INDX,Active
002722.XSHE,金轮股份,Normal,801890.INDX,Active
300464.XSHE,星徽精密,Normal,801890.INDX,Active
300450.XSHE,先导智能,Normal,801890.INDX,Active
600261.XSHG,阳光照明,Normal,801080.INDX,Active
002841.XSHE,视源股份,Normal,801080.INDX,Active
601988.XSHG,中国银行,Normal,801780.INDX,Active
300517.XSHE,海波重科,Normal,801720.INDX,Active
002090.XSHE,金智科技,Normal,801730.INDX,Active
000099.XSHE,中信海直,Normal,801170.INDX,Active
002749.XSHE,国光股份,Normal,801030.INDX,Active
000511.XSHE,烯碳退,Other,,Delisted
002782.XSHE,可立克,Normal,801080.INDX,Active
600132.XSHG,重庆啤酒,Normal,801120.INDX,Active
000918.XSHE,嘉凯城,Normal,801180.INDX,Active
600101.XSHG,明星电力,Normal,801160.INDX,Active
000701.XSHE,厦门信达,Normal,801080.INDX,Active
600156.XSHG,华升股份,Normal,801130.INDX,Active
300369.XSHE,绿盟科技,Normal,801750.INDX,Active
300585.XSHE,奥联电子,Normal,801880.INDX,Active
600449.XSHG,宁夏建材,Normal,801710.INDX,Active
002323.XSHE,*ST百特,StarST,801710.INDX,Active
300241.XSHE,瑞丰光电,Normal,801080.INDX,Active
300162.XSHE,雷曼股份,Normal,801080.INDX,Active
603958.XSHG,哈森股份,Normal,801130.INDX,Active
000632.XSHE,三木集团,Normal,801230.INDX,Active
