,symbol,special_type,shenwan_industry,status
000509.XSHE,华塑控股,Normal,801710.INDX,Active
603926.XSHG,铁流股份,Normal,801880.INDX,Active
000776.XSHE,广发证券,Normal,801790.INDX,Active
603579.XSHG,荣泰健康,Normal,801110.INDX,Active
002492.XSHE,恒基达鑫,Normal,801170.INDX,Active
300231.XSHE,银信科技,Normal,801750.INDX,Active
300188.XSHE,美亚柏科,Normal,801750.INDX,Active
002194.XSHE,*ST凡谷,StarST,801770.INDX,Active
300587.XSHE,天铁股份,Normal,801030.INDX,Active
002531.XSHE,天顺风能,Normal,801730.INDX,Active
000999.XSHE,华润三九,Normal,801150.INDX,Active
000047.XSHE,ST中侨,ST,,Delisted
002632.XSHE,道明光学,Normal,801030.INDX,Active
600993.XSHG,马应龙,Normal,801150.INDX,Active
601890.XSHG,亚星锚链,Normal,801740.INDX,Active
300473.XSHE,德尔股份,Normal,801880.INDX,Active
000810.XSHE,创维数字,Normal,801110.INDX,Active
002187.XSHE,广百股份,Normal,801200.INDX,Active
002230.XSHE,科大讯飞,Normal,801750.INDX,Active
300471.XSHE,厚普股份,Normal,801890.INDX,Active
300089.XSHE,文化长城,Normal,801140.INDX,Active
002932.XSHE,明德生物,Normal,801150.INDX,Active
002694.XSHE,顾地科技,Normal,801710.INDX,Active
600009.XSHG,上海机场,Normal,801170.INDX,Active
002376.XSHE,新北洋,Normal,801750.INDX,Active
002143.XSHE,印纪传媒,Normal,801760.INDX,Active
603580.XSHG,艾艾精工,Normal,801030.INDX,Active
603813.XSHG,原尚股份,Normal,801170.INDX,Active
300223.XSHE,北京君正,Normal,801080.INDX,Active
002035.XSHE,华帝股份,Normal,801110.INDX,Active
603711.XSHG,香飘飘,Normal,801120.INDX,Active
000878.XSHE,云南铜业,Normal,801050.INDX,Active
002831.XSHE,裕同科技,Normal,801140.INDX,Active
002610.XSHE,爱康科技,Normal,801730.INDX,Active
002214.XSHE,大立科技,Normal,801080.INDX,Active
600771.XSHG,广誉远,Normal,801150.INDX,Active
002083.XSHE,孚日股份,Normal,801130.INDX,Active
002352.XSHE,顺丰控股,Normal,801170.INDX,Active
600893.XSHG,航发动力,Normal,801740.INDX,Active
600067.XSHG,冠城大通,Normal,801180.INDX,Active
600167.XSHG,联美控股,Normal,801160.INDX,Active
603816.XSHG,顾家家居,Normal,801140.INDX,Active
300196.XSHE,长海股份,Normal,801030.INDX,Active
300308.XSHE,中际旭创,Normal,801770.INDX,Active
600793.XSHG,宜宾纸业,Normal,801140.INDX,Active
300711.XSHE,广哈通信,Normal,801770.INDX,Active
603055.XSHG,台华新材,Normal,801030.INDX,Active
300076.XSHE,GQY视讯,Normal,801080.INDX,Active
002785.XSHE,万里石,Normal,801710.INDX,Active
300151.XSHE,昌红科技,Normal,801890.INDX,Active
000100.XSHE,TCL集团,Normal,801110.INDX,Active
002338.XSHE,奥普光电,Normal,801890.INDX,Active
600237.XSHG,铜峰电子,Normal,801080.INDX,Active
002469.XSHE,三维工程,Normal,801720.INDX,Active
000686.XSHE,东北证券,Normal,801790.INDX,Active
002596.XSHE,海南瑞泽,Normal,801710.INDX,Active
603050.XSHG,科林电气,Normal,801730.INDX,Active
601005.XSHG,重庆钢铁,Normal,801040.INDX,Active
000906.XSHE,浙商中拓,Normal,801200.INDX,Active
300237.XSHE,美晨生态,Normal,801720.INDX,Active
000921.XSHE,海信科龙,Normal,801110.INDX,Active
603036.XSHG,如通股份,Normal,801890.INDX,Active
600530.XSHG,交大昂立,Normal,801150.INDX,Active
600181.XSHG,S*ST云大,StarST,,Delisted
600459.XSHG,贵研铂业,Normal,801050.INDX,Active
002299.XSHE,圣农发展,Normal,801010.INDX,Active
603131.XSHG,上海沪工,Normal,801890.INDX,Active
002647.XSHE,仁东控股,Normal,801790.INDX,Active
000760.XSHE,斯太尔,Normal,801880.INDX,Active
601949.XSHG,中国出版,Normal,801760.INDX,Active
300255.XSHE,常山药业,Normal,801150.INDX,Active
002807.XSHE,江阴银行,Normal,801780.INDX,Active
002574.XSHE,明牌珠宝,Normal,801140.INDX,Active
