证券代码,证券简称,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2017-12-29,估价修正久期 2017-12-29,估价全价 2018-03-30,估价修正久期 2018-03-30,估价全价 2018-06-29,估价修正久期 2018-09-14,估价全价 2018-09-14,估价修正久期 2018-06-29
101108.SZ,国债1108,101.0588,3.1282,101.2773,2.9106,100.958,2.7286,102.4143,2.2903,103.2054,2.4937
101110.SZ,国债1110,103.7551,9.951,101.2939,9.9081,104.2268,9.7181,104.6791,9.4858,104.6465,9.7099
101112.SZ,国债1112,,,102.7061,19.2312,107.9409,19.4194,110.3272,19.2095,106.1168,19.931
101115.SZ,国债1115,102.6624,3.3004,100.821,3.1436,102.4234,2.9102,102.0057,2.5251,102.6871,2.7296
101116.SZ,国债1116,105.6344,14.2476,101.5998,14.1963,105.5806,14.1065,108.1283,14.0302,106.7305,14.3434
101119.SZ,国债1119,101.5105,3.4673,101.6259,3.2483,101.2846,3.0763,102.9475,2.6908,101.6004,2.8434
101121.SZ,国债1121,103.9547,0.9392,100.8004,0.7673,101.981,0.531,102.7985,0.0793,103.5006,0.288
101123.SZ,国债1123,,,99.9626,19.3817,105.0907,19.5808,107.4531,19.3694,103.3107,20.1041
101124.SZ,国债1124,101.0705,3.6634,99.3251,3.5074,101.2136,3.2775,101.1487,2.8954,101.6372,3.1018
101204.SZ,国债1204,100.1297,3.9297,100.105,3.7091,99.9431,3.5392,101.7351,3.1562,100.4003,3.3082
101205.SZ,国债1205,101.8758,1.3259,102.3859,1.1116,100.3011,0.9114,101.235,0.4735,102.1332,0.6758
101206.SZ,国债1206,101.0944,10.4942,98.7424,10.4599,101.7244,10.2767,102.3908,10.0607,102.3479,10.2873
101208.SZ,国债1208,,,98.2964,19.5393,103.3732,19.7478,105.7349,19.5343,101.6168,20.2804
101209.SZ,国债1209,100.2908,4.1112,98.5787,3.9581,100.148,3.7251,100.3019,3.348,100.6994,3.5554
101210.SZ,国债1210,100.4899,1.5692,100.9157,1.3542,102.3306,1.1186,100.1417,0.7141,101.0759,0.9123
101212.SZ,国债1212,99.0875,14.9275,95.2577,14.8665,99.1795,14.7929,101.7392,14.7087,100.0998,15.0433
101213.SZ,国债1213,99.5986,14.9895,97.7878,14.6201,99.6888,14.8558,104.3094,14.77,100.5794,14.8119
101215.SZ,国债1215,99.4974,4.3486,99.493,4.1279,99.3411,3.9632,101.222,3.587,99.9409,3.7336
101216.SZ,国债1216,99.8314,1.809,100.1888,1.5933,101.6694,1.3585,102.6632,0.9518,100.4785,1.1187
101218.SZ,国债1218,100.6557,10.8889,100.2881,10.6406,101.2629,10.6715,104.0785,10.2541,104.0058,10.4823
101220.SZ,国债1220,,,100.2823,19.5226,105.4587,19.7358,107.8582,19.5218,103.6598,20.274
101221.SZ,国债1221,100.8551,4.5521,99.1337,4.4099,100.6367,4.1764,100.8193,3.8113,101.2596,4.0184
101303.SZ,国债1303,102.1645,2.1145,102.4988,1.8983,100.6119,1.7271,101.6979,1.2878,102.779,1.4883
101305.SZ,国债1305,99.8691,4.7381,99.9476,4.518,99.6754,4.3622,101.6866,3.9973,100.3675,4.1346
101308.SZ,国债1308,100.759,2.3378,101.0958,2.1217,102.6718,1.8879,100.5381,1.5099,101.5782,1.7107
101309.SZ,国债1309,100.7497,11.0388,98.3618,11.0095,101.371,10.8321,102.3353,10.6342,102.2292,10.8643
101310.SZ,国债1310,,,98.0405,19.6961,103.1384,19.9195,105.5276,19.7032,101.374,20.4678
101311.SZ,国债1311,99.9677,4.912,98.3451,4.7737,99.8224,4.5402,100.2156,4.181,100.6093,4.3887
101315.SZ,国债1315,100.6597,2.5581,100.9652,2.3417,102.5294,2.1078,103.7385,1.7322,101.249,1.8702
101316.SZ,国债1316,102.6741,11.1482,102.2625,10.8947,103.189,10.9479,106.3269,10.7594,104.0562,10.7713
101318.SZ,国债1318,102.8577,5.0706,102.874,4.8489,102.4052,4.7107,104.6344,4.363,102.9289,4.4859
101319.SZ,国债1319,110.2018,15.043,108.2684,14.6677,110.2897,14.9257,115.2167,14.5273,113.1754,14.8866
101320.SZ,国债1320,105.4947,2.6949,101.7107,2.5857,103.2956,2.3519,104.5954,1.9131,105.5323,2.1152
101323.SZ,国债1323,104.5128,0.9999,100.9246,0.8311,102.1431,0.5966,102.9948,0.1475,103.8173,0.355
101324.SZ,国债1324,,,119.3138,19.0245,125.345,19.2293,128.0191,19.0183,123.1877,19.7618
101325.SZ,国债1325,114.9092,14.6901,110.4801,14.6401,114.9826,14.5824,117.4679,14.4989,115.4018,14.8581
101401.SZ,国债1401,104.5575,1.1584,105.1161,0.9444,101.9018,0.7562,102.7961,0.3128,103.7204,0.5176
101403.SZ,国债1403,106.0268,2.9195,106.2921,2.702,103.4514,2.5839,104.8481,2.1453,105.7108,2.348
101405.SZ,国债1405,104.6263,5.4798,104.437,5.2546,103.9978,5.1322,106.4806,4.6989,106.5764,4.9113
101406.SZ,国债1406,104.6958,3.1267,104.9043,2.9086,106.5401,2.6755,103.7008,2.3501,104.4749,2.5537
101408.SZ,国债1408,102.646,1.4449,103.1199,1.2302,104.5153,0.9942,101.4248,0.5981,102.3245,0.7985
101409.SZ,国债1409,109.8695,11.1492,106.9515,11.1346,110.1916,10.964,111.3104,10.8009,111.1328,11.0367
101410.SZ,国债1410,,,106.5139,19.5181,112.0125,19.7445,114.5441,19.5282,110.0816,20.2975
101412.SZ,国债1412,103.1918,5.6652,100.9701,5.5473,102.7328,5.3179,103.253,4.9843,103.2377,5.1978
101413.SZ,国债1413,103.0838,3.3862,103.1765,3.1672,104.7717,2.9338,106.3588,2.6009,102.9593,2.7002
101416.SZ,国债1416,109.3872,15.1266,107.5672,14.7473,109.6039,15.0269,114.3996,14.9324,109.8189,14.9922
101417.SZ,国债1417,107.0729,11.4985,106.4953,11.2361,107.4013,11.3103,110.9759,11.1462,108.4428,11.1497
101421.SZ,国债1421,103.1535,5.8871,102.9393,5.661,102.6421,5.5419,105.1998,5.1081,105.1193,5.3231
101424.SZ,国债1424,103.9983,3.5619,100.3259,3.4722,101.9268,3.2392,103.6421,2.801,104.1653,3.0072
101425.SZ,国债1425,103.8373,15.4305,99.9081,15.3725,104.1698,15.3332,106.5753,15.2293,104.2979,15.6173
101426.SZ,国债1426,103.3594,1.8846,100.1683,1.7334,101.6783,1.4988,102.7092,1.059,103.8096,1.2594
101427.SZ,国债1427,,,97.9625,19.9062,103.1024,20.1514,105.5345,19.9309,101.3214,20.7226
101429.SZ,国债1429,101.7446,6.0696,99.6987,5.9548,101.3892,5.7251,102.0201,5.3937,101.8934,5.6091
101502.SZ,国债1502,101.5646,3.8289,101.5476,3.608,99.7673,3.4959,101.5327,3.0576,101.9619,3.2647
101503.SZ,国债1503,101.7865,2.1496,102.1111,1.9333,100.331,1.7602,101.4166,1.3209,102.4841,1.5215
101505.SZ,国债1505,99.465,6.3842,99.3334,6.159,100.9794,5.9292,101.5916,5.602,101.468,5.8179
101507.SZ,国债1507,101.1365,4.0323,101.1172,3.8113,102.7381,3.579,101.0388,3.2673,101.452,3.4746
101508.SZ,国债1508,101.2539,11.9567,98.5223,11.9323,101.6416,11.7688,103.2429,11.6153,102.9446,11.8568
101510.SZ,国债1510,,,92.9285,20.1892,97.8618,20.4493,100.2389,20.2254,96.1665,21.0351
101511.SZ,国债1511,99.9191,2.4493,100.24,2.2331,101.802,1.9993,99.8783,1.618,100.8804,1.8191
101514.SZ,国债1514,99.5356,4.2765,99.5019,4.0555,101.0658,3.8227,102.9366,3.504,100.0259,3.5933
101516.SZ,国债1516,99.705,6.5595,99.5075,6.3328,99.3807,6.2152,100.6222,5.8692,98.7833,5.9795
101517.SZ,国债1517,96.5909,16.1066,94.9518,15.7217,97.1108,16.0204,101.3706,15.8952,96.9645,15.9911
101519.SZ,国债1519,99.1147,2.7215,99.4083,2.505,100.9639,2.2712,102.212,1.8906,100.0151,2.0342
101521.SZ,国债1521,95.4519,12.5664,94.6857,12.2932,94.4011,12.3154,98.0349,11.9292,97.7124,12.1732
101522.SZ,国债1522,99.6548,0.9257,100.1684,0.7172,101.3719,0.4803,102.221,0.0274,102.8699,0.2367
101523.SZ,国债1523,96.4264,6.7959,94.5956,6.6741,96.2354,6.4453,96.9341,6.109,96.8265,6.3247
101525.SZ,国债1525,93.4665,16.1282,90.0417,16.0706,94.0562,16.0493,96.2627,15.9196,93.833,16.3399
101526.SZ,国债1526,100.357,4.4347,97.3175,4.3524,98.8125,4.119,100.7182,3.6828,101.1422,3.8902
101528.SZ,国债1528,,,90.9136,20.3377,95.7699,20.6085,98.1297,20.3824,94.1056,21.2051
101602.SZ,国债1602,98.732,3.0043,98.9758,2.7871,97.9719,2.6253,99.3148,2.1867,100.1367,2.3895
101603.SZ,国债1603,100.6042,1.2306,101.1299,1.0165,99.8355,0.8108,100.7338,0.3693,101.6402,0.5732
101604.SZ,国债1604,94.999,7.1164,94.4111,6.8835,94.7026,6.7598,96.8128,6.4184,95.2662,6.5381
101606.SZ,国债1606,97.1629,4.8538,97.2319,4.6335,95.9208,4.5275,97.9052,4.0926,98.31,4.2999
101607.SZ,国债1607,97.9286,3.2383,98.1111,3.0205,99.6645,2.7872,98.5389,2.4218,99.2622,2.6256
101608.SZ,国债1608,90.7348,16.5965,87.48,16.5378,88.4224,16.2989,90.4551,16.1572,88.0329,16.594
101609.SZ,国债1609,99.7537,1.4688,100.2065,1.2541,101.5674,1.018,99.9476,0.6088,100.8336,0.809
101610.SZ,国债1610,95.1479,7.2394,92.9034,7.1134,94.7418,6.8884,95.3907,6.5556,95.2883,6.7717
101613.SZ,国债1613,,,87.0485,20.5842,91.7454,20.8691,94.0613,20.6399,90.146,21.4797
101614.SZ,国债1614,97.3037,5.07,97.3493,4.8495,98.8159,4.6163,97.9612,4.3165,98.3143,4.5245
101615.SZ,国债1615,97.3051,3.4751,97.4092,3.2565,98.964,3.0233,100.54,2.6597,98.4978,2.7902
101616.SZ,国债1616,98.6297,1.7104,99.0094,1.495,100.4477,1.2598,101.41,0.8477,99.9857,1.0199
101617.SZ,国债1617,93.2223,7.526,92.2299,7.2852,92.7571,7.1692,94.8442,6.8316,93.3389,6.9482
101619.SZ,国债1619,85.3226,17.1848,83.9204,16.8013,83.2139,16.8915,86.8146,16.7316,82.7016,16.8615
101620.SZ,国债1620,95.5861,5.298,95.5648,5.0768,97.0458,4.844,99.2036,4.5369,96.7318,4.6195
101621.SZ,国债1621,97.9399,3.6581,95.5629,3.5294,97.0921,3.2961,98.7447,2.8578,99.2303,3.0641
101622.SZ,国债1622,99.7604,1.9083,97.802,1.7362,99.2833,1.5016,100.2947,1.0619,101.3762,1.2623
101623.SZ,国债1623,94.5675,7.6855,92.0286,7.5518,93.9697,7.3295,92.912,6.9678,92.7677,7.1852
101625.SZ,国债1625,97.7053,5.3414,94.8267,5.2728,96.3661,5.0408,98.607,4.6071,98.8057,4.8174
101626.SZ,国债1626,,,82.5718,20.8728,87.0794,21.1738,89.3394,20.9409,85.5562,21.8
101701.SZ,国债1701,99.2858,3.8384,99.2755,3.6177,97.9532,3.4916,99.6964,3.0534,100.1265,3.2604
101702.SZ,国债1702,100.3663,2.1181,100.6903,1.9019,99.4308,1.7197,100.4994,1.2804,101.5689,1.4809
101704.SZ,国债1704,99.0549,7.7399,97.7814,7.4921,98.1477,7.401,100.4099,7.0855,98.494,7.1833
101705.SZ,国债1705,92.1201,16.6887,90.7768,16.3088,92.9676,16.6398,96.8257,16.4764,92.1897,16.6077
101706.SZ,国债1706,98.9517,5.5899,98.7598,5.3649,97.2424,5.3058,99.6317,4.8721,99.6914,5.0842
101707.SZ,国债1707,99.4958,4.0585,99.4599,3.8375,101.0454,3.6049,99.7246,3.2809,100.1171,3.4883
101708.SZ,国债1708,100.6864,2.365,101.0047,2.1487,102.5626,1.9148,100.4777,1.5354,101.4958,1.7365
101710.SZ,国债1710,100.4879,7.7863,97.4421,7.6749,99.5486,7.4556,100.1304,7.151,99.9069,7.371
101711.SZ,国债1711,,,94.686,20.3375,99.7453,20.6234,102.1921,20.3947,97.9964,21.237
101712.SZ,国债1712,101.3027,1.5858,101.7303,1.3708,103.1684,1.1353,100.515,0.735,101.4687,0.9327
101713.SZ,国债1713,100.3096,5.7946,100.0729,5.5688,101.8206,5.3399,100.7576,5.0902,100.7144,5.3036
101714.SZ,国债1714,100.1569,4.2727,100.1319,4.0518,101.71,3.819,103.5971,3.5055,100.5276,3.5898
101715.SZ,国债1715,98.0252,16.5716,96.6829,16.1941,98.9376,16.532,102.9182,16.3621,97.9356,16.4987
101716.SZ,国债1716,100.4101,2.5995,100.7199,2.3831,102.2913,2.1493,103.5196,1.7739,101.03,1.9119
101718.SZ,国债1718,100.2325,8.0078,98.7313,7.7535,99.0648,7.6754,101.4869,7.3733,99.4617,7.4614
101719.SZ,国债1719,100.2302,1.828,100.585,1.6123,102.0759,1.3774,103.0785,0.9724,100.6558,1.1378
101720.SZ,国债1720,100.0997,6.0172,99.8787,5.7918,101.6148,5.5626,104.1587,5.129,104.069,5.3444
101721.SZ,国债1721,,,100.3147,4.2909,101.861,4.0577,103.8111,3.6218,104.2616,3.8291
101722.SZ,国债1722,,,99.5125,16.2371,103.9287,16.2378,105.8507,16.0679,102.802,16.5379
101723.SZ,国债1723,,,100.301,2.621,101.8665,2.3872,103.16,1.9484,104.0783,2.1505
101724.SZ,国债1724,,,100.4011,0.8182,101.612,0.5834,102.4585,0.1339,103.2603,0.3416
101725.SZ,国债1725,,,100.2124,7.9371,102.3843,7.7196,102.9834,7.43,102.752,7.6511
101726.SZ,国债1726,,,100.5943,20.1548,105.9299,20.4382,108.4753,20.2105,104.0684,21.0504
101727.SZ,国债1727,,,100.2676,6.003,101.9688,5.7732,104.5115,5.339,104.3938,5.5548
101799.SZ,国特1703,100.2443,4.4457,100.2343,4.2251,101.4016,3.9876,103.3335,3.5514,103.7766,3.7588
101801.SZ,国债1801,,,,,101.8135,4.2981,103.8069,3.8625,104.2414,4.0699
101802.SZ,国债1802,,,,,101.0321,2.6306,102.3989,2.1917,103.2171,2.3947
101803.SZ,国债1803,,,,,100.6559,0.8215,101.5508,0.3801,102.451,0.584
101804.SZ,国债1804,,,,,101.9746,7.957,104.2751,7.6642,102.1456,7.7415
101805.SZ,国债1805,,,,,100.689,5.9989,103.165,5.5637,103.0149,5.7797
101806.SZ,国债1806,,,,,101.7023,16.7118,105.6628,16.1895,102.4864,16.6745
101807.SZ,国债1807,,,,,,,100.984,2.3955,101.7276,2.5992
101808.SZ,国债1808,,,,,,,100.239,1.5159,101.2578,1.7169
101809.SZ,国债1809,,,,,,,100.2505,4.1543,100.6189,4.3622
101810.SZ,国债1810,,,,,,,100.2141,0.6588,101.1231,0.8581
101811.SZ,国债1811,,,,,,,102.2045,7.8504,102.0378,8.0708
101812.SZ,国债1812,,,,,,,103.3288,20.4751,99.065,21.3331
101813.SZ,国债1813,,,,,,,101.088,5.8246,100.9389,6.0404
101814.SZ,国债1814,,,,,,,,2.6217,100.3499,
101815.SZ,国债1815,,,,,,,,1.7376,100.6236,
101816.SZ,国债1816,,,,,,,,4.3598,99.8374,
101817.SZ,国债1817,,,,,,,,16.6925,96.1707,
101818.SZ,国债1818,,,,,,,,0.8973,100.2018,
101819.SZ,国债1819,,,,,,,,8.1407,100.2852,
101820.SZ,国债1820,,,,,,,,6.0647,99.8454,
101917.SZ,国债917,102.6254,3.3989,102.7811,3.1803,102.3037,3.0125,103.9766,2.6311,102.5111,2.7797
108233.SZ,贴债1817,,,,,,,99.1207,0.0848,99.8339,0.2933
108238.SZ,贴债1822,,,,,,,98.8115,0.1611,99.6457,0.3681
108243.SZ,贴债1827,,,,,,,98.6237,0.2371,99.4867,0.4431
108246.SZ,贴债1829,,,,,,,99.301,0.0274,99.9492,0.2367
108247.SZ,贴债1830,,,,,,,,0.0465,99.8971,
108248.SZ,贴债1831,,,,,,,,0.0657,99.8766,
108249.SZ,贴债1833,,,,,,,,0.3316,99.2281,
108250.SZ,贴债1832,,,,,,,,0.0848,99.8416,
108251.SZ,贴债1834,,,,,,,,0.1039,99.8001,
108252.SZ,贴债1835,,,,,,,,0.123,99.7577,
108253.SZ,贴债1836,,,,,,,,0.142,99.6987,
108254.SZ,贴债1838,,,,,,,,0.4069,99.027,
108255.SZ,贴债1837,,,,,,,,0.1611,99.6822,
108256.SZ,贴债1839,,,,,,,,0.1802,99.6451,
108257.SZ,贴债1840,,,,,,,,0.1992,99.5914,
108258.SZ,贴债1841,,,,,,,,0.2182,99.5453,
108259.SZ,贴债1843,,,,,,,,0.4815,98.7473,
108260.SZ,贴债1842,,,,,,,,0.2372,99.5055,
108261.SZ,贴债1844,,,,,,,,,,
,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,
